Num: b0=0 b1=0 b2=1 b3=3d size=4
  MSac  [ui8 ]  0 (bytes 00)
  MSaf  [ui8 ]  0 (bytes 00)
  MSag  [ui8 ]  0 (bytes 00)
  MSam  [ui8 ]  0 (bytes 00)
  MSap  [ui8 ]  0 (bytes 00)
  NATJ  [ui8 ]  0 (bytes 00)
  NATi  [ui16]  0 (bytes 00 00)
  NOPB  [ui8 ]  0 (bytes 00)
  NTOK  [ui8 ]  0 (bytes 00)
  ONMI  [ui8 ]  0 (bytes 00)
  PC0C  [sp78]  (bytes 12 86)
  PC0R  [sp78]  (bytes 15 a2)
  PC0Z  [sp78]  (bytes 07 85)
  PC1C  [sp78]  (bytes 02 8d)
  PC2C  [sp78]  (bytes 00 fc)
  PCP2  [sp78]  (bytes 2d 00)
  PCPC  [sp78]  (bytes 0f 03)
  PCPG  [sp78]  (bytes 00 41)
  PCPL  [sp78]  (bytes 23 00)
  PCPT  [sp78]  (bytes 12 dd)
  PD0D  [sp78]  (bytes 00 01)
  PD0E  [sp78]  (bytes 29 b6)
  PD0F  [sp78]  (bytes 30 0f)
  PD0J  [sp78]  (bytes 06 59)
  PD0K  [sp78]  (bytes 03 f2)
  PD0R  [sp78]  (bytes 22 f7)
  PD0Z  [sp78]  (bytes 14 ba)
  PD1R  [sp78]  (bytes 00 6e)
  PDCC  [sp78]  (bytes 64 00)
  PFHC  [sp78]  (bytes 2d 00)
  PG0C  [sp78]  (bytes 04 2d)
  PG0R  [sp78]  (bytes 07 8b)
  PG0Z  [sp78]  (bytes 07 99)
  PHPC  [sp78]  (bytes 1d 2e)
  PM0C  [sp78]  (bytes 01 8d)
  PN0R  [sp78]  (bytes 00 63)
  PN1R  [sp78]  (bytes 01 86)
  PSHC  [sp78]  (bytes 2d 00)
  PTHC  [sp78]  (bytes 2d 00)
  PZ0T  [si8 ]  (bytes 0b 0b)
  PZ1T  [si8 ]  (bytes 0b 00)
  PZGT  [si8 ]  (bytes 0b)
  Pz0F  [sp78]  (bytes 2d 00)
  Pz0S  [sp78]  (bytes 2d 00)
  RBr   [ch8*]  (bytes 6a 34 30 00 00 00 00 00)
  REV   [{rev]  (bytes 01 75 0f 00 00 00)
  RMde  [char]  (bytes 41)
  RPlt  [ch8*]  (bytes 6a 34 30 67 00 00 00 00)
  RSvn  [ui32]  0 (bytes 00 00 00 00)
  RVBF  [{rev]  (bytes 01 75 0f 00 00 00)
  RVUF  [{rev]  (bytes 01 75 0f 00 00 00)
  SAS!  [hex_]  (bytes 00 04 ff ff)
  SBF   [hex_]  (bytes 00 00 00 00)
  SBFC  [flag]  (bytes 00)
  SBFD  [hex_]  (bytes 00 00 00 00)
  SBFE  [flag]  (bytes 01)
  SBFL  [hex_]  (bytes 00 00 00 00)
  SBFN  [hex_]  (bytes 00 00 00 00)
  SBFU  [hex_]  (bytes 00 00 00 01)
  SCIA  [ui16]  248 (bytes 03 f8)
  SCII  [ui8 ]  0 (bytes 00)
  SCIL  [ui8 ]  0 (bytes 00)
  SCXC  [sp78]  (bytes 64 00)
  SDAF  [ui16]  0 (bytes 00 00)
  SDRd  [ui16]  0 (bytes 00 00)
