Num: b0=0 b1=0 b2=1 b3=43 size=4
  MSPs  [ui16]  0 (bytes 00 00)
  MSQA  [flag]  (bytes 00)
  MSQC  [ui8 ]  0 (bytes 00)
  MSQF  [flag]  (bytes 00)
  MSQL  [ui8 ]  0 (bytes 00)
  MSQN  [flag]  (bytes 00)
  MSQO  [ui8 ]  120 (bytes 78)
  MSQT  [si16]  (bytes 0a 00)
  MSQW  [ui16]  0 (bytes 00 00)
  MSSD  [si8 ]  (bytes 05)
  MSSE  [ui16]  0 (bytes 00 00)
  MSSF  [ui32]  0 (bytes 00 00 00 00)
  MSSG  [ui32]  0 (bytes 00 00 00 00)
  MSSP  [si8 ]  (bytes 05)
  MSSS  [{mss]  (bytes 00)
  MSTC  [ui16]  0 (bytes 00 00)
  MSTM  [ui8 ]  1 (bytes 01)
  MSTc  [ui8 ]  0 (bytes 00)
  MSTg  [ui8 ]  0 (bytes 00)
  MSTm  [ui8 ]  0 (bytes 00)
  MSWA  [fp6a]  (bytes 00 00)
  MSWE  [ui8 ]  (bytes 00)
  MSWF  [ui16]  232 (bytes 03 e8)
  MSWO  [ui16]  232 (bytes 03 e8)
  MSWP  [ui8 ]  (bytes 00)
  MSWR  [ui8 ]  0 (bytes 00)
  MSWr  [ui8 ]  0 (bytes 00)
  MSXC  [ch8*]  (bytes 00 00 00 00)
  MSXD  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXK  [ch8*]  (bytes 01 02 03 04 05 06 07 08 09 0a 0b 0c 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXN  [ui8 ]  12 (bytes 0c)
  MSXS  [ch8*]  (bytes 02 06 0c 09)
  MSXb  [ui8 ]  0 (bytes 00)
  MSXc  [ch8*]  (bytes 00 00 00 00)
  MSXd  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXk  [ch8*]  (bytes 01 02 03 04 05 06 07 08 09 0a 0b 0c 0d 0e 0f 10 11 12 13 14 15 16 17 18 19 1a 1b 1c 1d f0 f1 f2)
  MSXm  [ui16]  8 (bytes 00 08)
  MSXn  [ui8 ]  33 (bytes 21)
  MSXs  [ui32]  14 (bytes 01 02 0b 0e)
  MVDS  [flag]  (bytes 00)
  MVS4  [ui8 ]  1 (bytes 01)
  NACK  [ui8 ]  0 (bytes 00)
  NATJ  [ui8 ]  0 (bytes 00)
  NATi  [ui16]  0 (bytes 00 00)
  NOPB  [ui8 ]  0 (bytes 00)
  NTOK  [ui8 ]  0 (bytes 00)
  ONMI  [ui8 ]  0 (bytes 00)
  PB0R  [sp78]  (bytes 10 73)
  PC0C  [sp78]  (bytes 06 a0)
  PC0c  [ui16]  64 (bytes 1d 40)
  PD0R  [sp78]  (bytes 00 00)
  PN0C  [sp78]  (bytes 01 b2)
  PN1C  [sp78]  (bytes 00 f4)
  PT0C  [sp78]  (bytes 1c 00)
  PZAP  [sp78]  (bytes 00 bc)
  PZBL  [sp78]  (bytes 01 a6)
  PZDM  [sp78]  (bytes 01 89)
  PZHD  [sp78]  (bytes 00 2a)
  Pc0R  [sp78]  (bytes 0c 5c)
  RBr   [ch8*]  (bytes 6b 31 36 6b 39 39 00 00)
  REV   [{rev]  (bytes 01 67 0f 00 00 10)
  RMde  [char]  (bytes 41)
  RPlt  [ch8*]  (bytes 6b 39 39 00 00 00 00 00)
  RSvn  [ui32]  0 (bytes 00 00 00 00)
  RVBF  [{rev]  (bytes 01 67 0f 00 00 04)
  RVUF  [{rev]  (bytes 01 67 0f 00 00 04)
  SAS!  [hex_]  (bytes 00 00 ff fb)
  SBF   [hex_]  (bytes 00 00 00 00)
  SBFC  [flag]  (bytes 00)
  SBFD  [hex_]  (bytes 00 00 00 00)
  SBFE  [flag]  (bytes 01)
  SBFN  [hex_]  (bytes 00 00 00 00)
  SBFU  [hex_]  (bytes 00 00 00 00)
  SBS!  [ui16]  0 (bytes 00 00)
  SC0F  [sp78]  (bytes 61 00)
  SC0W  [sp78]  (bytes 63 00)
  SCIA  [ui16]  248 (bytes 03 f8)
  SCII  [ui8 ]  0 (bytes 00)
  SCIL  [ui8 ]  0 (bytes 00)
  SDAF  [ui16]  0 (bytes 00 00)
  SDAS  [ui16]  0 (bytes 00 00)
  SDRd  [ui16]  0 (bytes 00 00)
  SFBR  [ui8 ]  4 (bytes 04)
  SG0F  [sp78]  (bytes 57 00)
  SG0W  [sp78]  (bytes 5e 80)
  SHTg  [sp78]  (bytes 0a 00)
  SIP   [ui8 ]  (bytes 01)
  SIS!  [hex_]  (bytes 00 00)
  SIT!  [hex_]  (bytes 00 00)
  SIU!  [hex_]  (bytes 00 00)
