Num: b0=0 b1=0 b2=3 b3=5a size=4
  D3if  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00)
  D3ih  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00)
  D3ii  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D3im  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D3in  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D3is  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D4CA  [ui16]  64 (bytes 00 40)
  D4CD  [ui16]  64 (bytes 00 40)
  D4CR  [ui16]  69 (bytes 00 45)
  D4Cd  [hex_]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D4IC  [ui16]  255 (bytes ff ff)
  D4IR  [ui16]  0 (bytes 00 00)
  D4JA  [ui32]  76 (bytes 00 00 1d 4c)
  D4JB  [ui32]  76 (bytes 00 00 1d 4c)
  D4JD  [{jst]  (bytes 00 00 1d 4c 00 00 1d 4c 1d 4c 1d 4c 1d 4c 00 00 00)
  D4JR  [ui32]  0 (bytes 00 00 00 00)
  D4JS  [ui32]  0 (bytes 00 00 00 00)
  D4LR  [ui8 ]  1 (bytes 01)
  D4VC  [ui16]  0 (bytes 00 00)
  D4VM  [ui16]  0 (bytes 00 00)
  D4VR  [ui16]  0 (bytes 00 00)
  D4VX  [ui16]  0 (bytes 00 00)
  D4if  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00)
  D4ih  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00)
  D4ii  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D4im  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D4in  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D4is  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  DBGE  [ui8 ]  0 (bytes 00)
  DBGP  [ui8 ]  4 (bytes 04)
  DBGT  [ui8 ]  0 (bytes 00)
  DICT  [flag]  (bytes 00)
  DID0  [ui32]  1 (bytes 18 05 01 01)
  DID1  [ui32]  52 (bytes 10 dc c8 34)
  DM0C  [hex_]  (bytes 03 03)
  DM0E  [flag]  (bytes 01)
  DM0F  [ui8 ]  0 (bytes 00)
  DM0I  [{hdi]  (bytes 02 06 01 03 03 03 00 0b 01 00 00 0b 00 00)
  DM0M  [ui8 ]  0 (bytes 00)
  DM0P  [ui8 ]  2 (bytes 02)
  DM0R  [ui8 ]  0 (bytes 00)
  DM0S  [ui8 ]  2 (bytes 02)
  DM0W  [ui8 ]  0 (bytes 00)
  DM0h  [ui8 ]  31 (bytes 1f)
  DM0r  [ui8 ]  0 (bytes 00)
  DM0w  [ui8 ]  0 (bytes 00)
  DME!  [hex_]  (bytes 00)
  DMFR  [hex_]  (bytes 00 02)
  DMFV  [flag]  (bytes 00)
  DMP!  [hex_]  (bytes 00)
  DMS!  [hex_]  (bytes 00)
  DPB0  [ui8 ]  3 (bytes 03)
  DPB1  [ui8 ]  4 (bytes 04)
  DPBR  [ui16]  140 (bytes 00 8c)
  DPLM  [{lim]  (bytes 00 00 00 00 00)
  DSAS  [flag]  (bytes 00)
  DT0A  [sp78]  (bytes 5f 00)
  DT0B  [sp78]  (bytes 4d 00)
  DT0C  [sp78]  (bytes 4d 00)
  DT0a  [sp78]  (bytes 19 00)
  DT0b  [sp78]  (bytes 03 00)
  DT0c  [sp78]  (bytes 03 00)
  DULI  [ui8 ]  0 (bytes 00)
  DULT  [ui8 ]  70 (bytes 46)
  DURR  [ui8 ]  4 (bytes 04)
  DUST  [ui8 ]  0 (bytes 00)
  DUTC  [flag]  (bytes 00)
  DUTI  [ui8 ]  0 (bytes 00)
  DUTT  [ui8 ]  45 (bytes 2d)
  ECIP  [hex_]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  ECIT  [ui8 ]  0 (bytes 00)
  EECC  [ui32]  0 (bytes 00 00 00 00)
  EECT  [ui32]  255 (bytes ff ff ff ff)
  ENV0  [ui8 ]  1 (bytes 01)
  EPCA  [ui32]  0 (bytes 00 00 b0 00)
  EPCF  [flag]  (bytes 01)
  EPCI  [ui32]  0 (bytes 09 40 f0 00)
  EPCV  [ui16]  1 (bytes 00 01)
  EPMA  [ch8*]  (bytes 00 00 a8 10)
  EPMI  [ui8 ]  0 (bytes 00)
  EPUA  [ui32]  0 (bytes 00 00 a8 00)
  EPUF  [flag]  (bytes 01)
  EPUI  [ui32]  1 (bytes 09 40 00 01)
  EPUV  [ui16]  1 (bytes 00 01)
  ERCE  [flag]  (bytes 00)
  ERCR  [ui16]  10 (bytes 00 0a)
  ERCS  [flag]  (bytes 00)
  EVCT  [hex_]  (bytes b2 02)
  EVHF  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  EVMD  [ui32]  0 (bytes 00 00 00 00)
  EVRD  [ch8*]  (bytes d1 08 a1 90 ff c0 ea 57 64 10 40 00 06 40 6c 0f 29 02 01 00 03 40 59 34 a3 05 00 00 02 40 0c 6d)
  EVSL  [ui8 ]  0 (bytes 00)
  EVVR  [ui8 ]  1 (bytes 01)
  F0Ac  [fpe2]  2155 (bytes 21 ac)
  F0ID  [{fds]  (bytes 00 00 0c 00 4c 65 66 74 20 73 69 64 65 20 20 00)
  F0Mn  [fpe2]  2160 (bytes 21 c0)
  F0Mt  [ui16]  0 (bytes 00 00)
  F0Mx  [fpe2]  5927 (bytes 5c 9c)
  F0Tg  [fpe2]  2160 (bytes 21 c0)
  F1Ac  [fpe2]  2002 (bytes 1f 48)
  F1ID  [{fds]  (bytes 00 00 0e 00 52 69 67 68 74 20 73 69 64 65 20 00)
  F1Mn  [fpe2]  2000 (bytes 1f 40)
  F1Mt  [ui16]  0 (bytes 00 00)
  F1Mx  [fpe2]  5489 (bytes 55 c4)
  F1Tg  [fpe2]  2000 (bytes 1f 40)
  FNum  [ui8 ]  2 (bytes 02)
  FOff  [ui8 ]  0 (bytes 00)
  FPDc  [fp79]  (bytes 35 e8)
  FRmn  [ui16]  0 (bytes 00 00)
  FRmp  [ui16]  0 (bytes 00 00)
  FS!   [ui16]  0 (bytes 00 00)
  FSDc  [ui16]  0 (bytes 69 00)
  G3AO  [ui32]  0 (bytes 00 00 00 00)
  G3NO  [ui8 ]  0 (bytes 00)
  G3WD  [flag]  (bytes 00)
  GT0C  [ui16]  0 (bytes 00 00)
  GT0R  [hex_]  (bytes 00)
  GTH!  [hex_]  (bytes 00)
  GTHR  [hex_]  (bytes 00)
  HBKP  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  HBKT  [ui32]  0 (bytes 00 05 46 00)
  HC0N  [ui8 ]  17 (bytes 11)
  HC0T  [ui8 ]  9 (bytes 09)
  HDBS  [ui8 ]  1 (bytes 01)
  HDST  [hex_]  (bytes 00 00 00 00)
  HDSW  [hex_]  (bytes 11 d3 11 ca)
  HE0N  [ui8 ]  16 (bytes 10)
  HE0T  [ui8 ]  0 (bytes 00)
  HE1N  [ui8 ]  0 (bytes 00)
  HE1T  [ui8 ]  0 (bytes 00)
  HI0N  [ui8 ]  15 (bytes 0f)
  HI0T  [ui8 ]  0 (bytes 00)
  HI1N  [ui8 ]  0 (bytes 00)
  HI1T  [ui8 ]  0 (bytes 00)
  HNVD  [ui16]  0 (bytes 00 00)
  I18C  [flt ]  (bytes 00 00 00 00)
  IAPC  [flt ]  (bytes 00 00 00 00)
  IBAC  [sp78]  (bytes 01 b8)
  IBLR  [flt ]  (bytes 00 00 00 00)
  IBSC  [flt ]  (bytes 19 81 61 40)
  IBTC  [flt ]  (bytes 00 00 00 00)
  IC0R  [flt ]  (bytes 4d 6f ad 3f)
  ICAC  [flt ]  (bytes 00 00 00 00)
  ICAM  [flt ]  (bytes 00 00 00 00)
  ICMC  [flt ]  (bytes 00 00 00 00)
  ICSC  [flt ]  (bytes 00 00 00 00)
  ICTC  [flt ]  (bytes 00 00 00 00)
  ICTM  [flt ]  (bytes 00 00 00 00)
  ID0R  [flt ]  (bytes ff 47 37 3b)
  ID0r  [ui16]  1 (bytes 00 01)
  IF3C  [flt ]  (bytes 00 00 00 00)
  IF5C  [flt ]  (bytes 00 00 00 00)
  IG0C  [flt ]  (bytes 00 00 00 00)
  IG0R  [flt ]  (bytes 01 23 eb 3b)
  IG0c  [ui16]  12 (bytes 00 0c)
  IG0r  [ui16]  3 (bytes 00 03)
  IG1C  [flt ]  (bytes 00 00 00 00)
