Num: b0=0 b1=0 b2=1 b3=4c size=4
  SPHZ  [ui8 ]  (bytes 00)
  SPS!  [hex_]  (bytes 00 00 00 00)
  SPT!  [hex_]  (bytes 00)
  SS0F  [sp78]  (bytes 32 00)
  SS0W  [sp78]  (bytes 34 00)
  SS2F  [sp78]  (bytes 32 00)
  SS2W  [sp78]  (bytes 34 00)
  Sp1F  [sp78]  (bytes 54 00)
  Sp1P  [sp78]  (bytes 59 00)
  Sp1S  [sp78]  (bytes 5e 00)
  Sp2F  [sp78]  (bytes 59 00)
  Sp2P  [sp78]  (bytes 60 00)
  Sp2S  [sp78]  (bytes 65 00)
  Sp2W  [sp78]  (bytes 5b 00)
  Sp3F  [sp78]  (bytes 54 00)
  Sp3P  [sp78]  (bytes 59 00)
  Sp3S  [sp78]  (bytes 5e 00)
  SpCC  [fp6a]  (bytes 44 0c)
  SpCD  [fp6a]  (bytes 08 00)
  SpCI  [ui8 ]  (bytes 0e)
  SpCL  [fp6a]  (bytes 00 00)
  SpCP  [fp6a]  (bytes 47 5e)
  SpCR  [fp6a]  (bytes 00 00)
  SpCS  [si16]  (bytes 06 c8)
  SpCT  [fpc4]  (bytes 12 16)
  TA0P  [sp78]  (bytes 17 b6)
  TA0V  [sp78]  (bytes 17 92)
  TA0p  [sp78]  (bytes 19 60)
  TC0H  [sp78]  (bytes 28 00)
  TC0P  [sp78]  (bytes 2b 20)
  TC0c  [sp78]  (bytes 2f 00)
  TC0h  [sp78]  (bytes 28 00)
  TC0p  [sp78]  (bytes 2b 20)
  TC1c  [sp78]  (bytes 2e 00)
  TC2c  [sp78]  (bytes 33 00)
  TC3c  [sp78]  (bytes 2c 00)
  TCGc  [sp78]  (bytes 32 00)
  TCSc  [sp78]  (bytes 2b 00)
  TCXc  [sp78]  (bytes 31 e8)
  TG0D  [sp78]  (bytes 31 c0)
  TG0H  [sp78]  (bytes 30 80)
  TG0d  [sp78]  (bytes 31 c0)
  TG0h  [sp78]  (bytes 30 80)
  TG0p  [sp78]  (bytes 30 00)
  TH0O  [sp78]  (bytes 01 00)
  TH0o  [hex_]  (bytes 0f)
  TH1O  [sp78]  (bytes 01 00)
  TL0P  [sp78]  (bytes 1c 45)
  TL0V  [sp78]  (bytes 21 f0)
  TL0p  [sp78]  (bytes 29 60)
  TL1P  [sp78]  (bytes 24 50)
  TL1V  [sp78]  (bytes 21 31)
  TL1p  [sp78]  (bytes 24 50)
  TL1v  [sp78]  (bytes 21 49)
  TL2V  [sp78]  (bytes 22 38)
  TLAV  [sp78]  (bytes 22 38)
  TLBV  [sp78]  (bytes 1e 49)
  TLCV  [sp78]  (bytes 21 f0)
  TO0P  [sp78]  (bytes 25 60)
  TO0p  [sp78]  (bytes 26 60)
  TPCD  [sp78]  (bytes 34 00)
  TS0P  [sp78]  (bytes 24 20)
  TS0V  [sp78]  (bytes 21 ac)
  TS0p  [sp78]  (bytes 24 20)
  TS2P  [sp78]  (bytes 23 80)
  TS2V  [sp78]  (bytes 23 ff)
  TS2p  [sp78]  (bytes 23 80)
  Tm0P  [sp78]  (bytes 2f c0)
  Tm0p  [sp78]  (bytes 2f c0)
  Tp1P  [sp78]  (bytes 2a e0)
  Tp1p  [sp78]  (bytes 2a e0)
  Tp2H  [sp78]  (bytes 31 40)
  Tp2h  [sp78]  (bytes 31 40)
  Tp3H  [sp78]  (bytes 2d c0)
  Tp3h  [sp78]  (bytes 2d c0)
  UPRC  [ui16]  69 (bytes 08 45)
  VC0C  [sp1e]  (bytes 49 1d)
  VC0G  [sp1e]  (bytes 1c d1)
  VC0c  [ui16]  64 (bytes 52 40)
  VC5R  [sp1e]  (bytes 5e f8)
  VCSR  [sp1e]  (bytes 3b 4c)
  VD2R  [sp78]  (bytes 0c 0c)
  VD2S  [spf0]  (bytes 08 f2)
  VG0R  [sp4b]  (bytes 5f af)
  VG0r  [ui16]  64 (bytes e7 40)
  VM0R  [sp1e]  (bytes 00 00)
  VN1R  [sp1e]  (bytes 43 19)
  VV1R  [sp1e]  (bytes 43 9f)
  Vc0G  [sp1e]  (bytes 1d 1c)
  WVr0  [ui8 ]  6 (bytes 06)
  WVr2  [ui8 ]  5 (bytes 05)
  WVw0  [ui8 ]  2 (bytes 02)
  WVw2  [ui8 ]  3 (bytes 03)
  WVz2  [ui8 ]  2 (bytes 02)
  dBA0  [sp78]  (bytes 0d 6a)
  dBA1  [sp78]  (bytes 0b 9c)
  dBA2  [sp78]  (bytes 0f 7f)
  dBAH  [sp78]  (bytes 11 00)
  dBAT  [sp78]  (bytes 16 00)
  zDBG  [ui8 ]  (bytes 00)
  zDSF  [flag]  (bytes 00)
