PM ASL data store: /var/log/powermanagement
2020-01-14 12:40:50 +0100 ShutdownCause       	SMC shutdown cause: 0: Battery disconnected                                	          

Time stamp                Domain              	Message                                                                    	Duration  	Delay     
==========                ======              	=======                                                                    	========  	=====     
UUID: (null)
2020-01-14 12:48:33 +0100 Assertions          	PID 1047(fsck_apfs) Created PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x500008261 [System: PrevIdle PrevDisp DeclUser IntPrevDisp kDisp]          
2020-01-14 12:48:33 +0100 Assertions          	PID 1047(fsck_apfs) Released PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x500008261 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:49:04 +0100 Assertions          	PID 1135(fsck_apfs) Created PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x50000830f [System: PrevIdle PrevDisp DeclUser IntPrevDisp kDisp]          
2020-01-14 12:49:04 +0100 Assertions          	PID 1135(fsck_apfs) Released PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x50000830f [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:01 +0100 Assertions          	PID 115(apsd) Released ApplePushServiceTask "com.apple.apsd-login" 00:01:31  id:0x0xb00008227 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:21 +0100 Assertions          	PID 1179(fsck_apfs) Created PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x500008375 [System: PrevIdle PrevDisp DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:21 +0100 Assertions          	PID 1179(fsck_apfs) Released PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x500008375 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:28 +0100 Assertions          	PID 1217(fsck_apfs) Created PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x500008397 [System: PrevIdle PrevDisp DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:28 +0100 Assertions          	PID 1217(fsck_apfs) Released PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x500008397 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:33 +0100 Assertions          	PID 584(Setup Assistant) ClientDied NoIdleSleepAssertion "IASUtilities" 00:02:28  id:0x0x100008221 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:33 +0100 Assertions          	PID 576(UserEventAgent) ClientDied BackgroundTask "com.apple.SafariBookmarksSyncAgent.XPC.ZoneSubscriptionRegistration" 00:05:05  id:0x0xb0000815e [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:33 +0100 Assertions          	PID 576(UserEventAgent) ClientDied BackgroundTask "com.apple.SafariBookmarksSyncAgent.XPC.CloudTabsZoneSubscriptionRegistration" 00:04:54  id:0x0xb00008163 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:33 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context127.preventuseridledisplaysleep" 00:06:15  id:0x0x5000080ec [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:33 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context127.preventuseridlesleep" 00:06:15  id:0x0x1000080eb [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:33 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context128.preventuseridledisplaysleep" 00:06:15  id:0x0x5000080f0 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:33 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context128.preventuseridlesleep" 00:06:15  id:0x0x1000080ef [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:33 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context129.preventuseridledisplaysleep" 00:06:15  id:0x0x5000080f5 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:33 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context129.preventuseridlesleep" 00:06:15  id:0x0x1000080f4 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:33 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context130.preventuseridledisplaysleep" 00:06:15  id:0x0x5000080f9 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:33 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context130.preventuseridlesleep" 00:06:15  id:0x0x1000080f8 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:33 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context131.preventuseridledisplaysleep" 00:06:15  id:0x0x5000080fd [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:33 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context131.preventuseridlesleep" 00:06:15  id:0x0x1000080fc [System: PrevIdle DeclUser IntPrevDisp kDisp]          
