PM ASL data store: /var/log/powermanagement
2021-02-01 21:13:49 +0100 ShutdownCause       	SMC shutdown cause: 1: Normal warm reset                                   	          

Time stamp                Domain              	Message                                                                    	Duration  	Delay     
==========                ======              	=======                                                                    	========  	=====     
UUID: (null)
2021-02-01 21:25:25 +0100 Assertions          	PID 424(UserEventAgent) Summary BackgroundTask "com.apple.cloudphotod.sync.discretionary-when-background" 00:00:54  id:0x0xb00008269 [System: DeclUser BGTask kDisp]          
2021-02-01 21:25:25 +0100 Assertions          	PID 424(UserEventAgent) Summary BackgroundTask "com.apple.SafariBookmarksSyncAgent.XPC.CloudTabsZoneSubscriptionRegistration" 00:09:41  id:0x0xb00008217 [System: DeclUser BGTask kDisp]          
2021-02-01 21:25:25 +0100 Assertions          	Kernel Idle sleep preventers: -None-          
2021-02-01 21:25:25 +0100 Assertions          	[System: DeclUser BGTask kDisp]          
2021-02-01 21:25:25 +0100 Assertions          	PID 68(powerd) Created InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd0000828e [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:25:25 +0100 Assertions          	PID 68(powerd) Released InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd0000828e [System: DeclUser BGTask kDisp]          
2021-02-01 21:25:26 +0100 Assertions          	PID 68(powerd) Created InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd0000828f [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:25:26 +0100 Assertions          	PID 68(powerd) Released InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd0000828f [System: DeclUser BGTask kDisp]          
2021-02-01 21:25:29 +0100 Assertions          	PID 68(powerd) Created InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd00008290 [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:25:29 +0100 Assertions          	PID 68(powerd) Released InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd00008290 [System: DeclUser BGTask kDisp]          
2021-02-01 21:25:32 +0100 Assertions          	PID 68(powerd) Created InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd00008292 [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:25:32 +0100 Assertions          	PID 68(powerd) Released InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd00008292 [System: DeclUser BGTask kDisp]          
2021-02-01 21:25:36 +0100 Assertions          	PID 68(powerd) Created InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd00008294 [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:25:36 +0100 Assertions          	PID 68(powerd) Released InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd00008294 [System: DeclUser BGTask kDisp]          
2021-02-01 21:25:39 +0100 Assertions          	PID 68(powerd) Created InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd00008299 [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:25:39 +0100 Assertions          	PID 68(powerd) Released InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd00008299 [System: DeclUser BGTask kDisp]          
2021-02-01 21:25:42 +0100 Assertions          	PID 68(powerd) Created InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd0000829a [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:25:42 +0100 Assertions          	PID 68(powerd) Released InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd0000829a [System: DeclUser BGTask kDisp]          
2021-02-01 21:25:49 +0100 Assertions          	PID 68(powerd) Created InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd0000829b [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:25:49 +0100 Assertions          	PID 68(powerd) Released InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd0000829b [System: DeclUser BGTask kDisp]          
2021-02-01 21:25:53 +0100 Assertions          	PID 68(powerd) Created InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd0000829c [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:25:53 +0100 Assertions          	PID 68(powerd) Released InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd0000829c [System: DeclUser BGTask kDisp]          
2021-02-01 21:25:56 +0100 Assertions          	PID 68(powerd) Created InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd0000829d [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:25:56 +0100 Assertions          	PID 68(powerd) Released InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd0000829d [System: DeclUser BGTask kDisp]          
2021-02-01 21:25:56 +0100 Assertions          	PID 68(powerd) Created InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd0000829e [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:25:56 +0100 Assertions          	PID 68(powerd) Released InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd0000829e [System: DeclUser BGTask kDisp]          
2021-02-01 21:25:57 +0100 Assertions          	PID 68(powerd) Created InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd0000829f [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:25:57 +0100 Assertions          	PID 68(powerd) Released InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd0000829f [System: DeclUser BGTask kDisp]          
2021-02-01 21:25:58 +0100 Assertions          	PID 150(PowerUIAgent) Created MaintenanceWake "com.apple.obc" 00:00:00  id:0x0xd000082a0 [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:25:58 +0100 Assertions          	PID 150(PowerUIAgent) Released MaintenanceWake "com.apple.obc" 00:00:00  id:0x0xd000082a0 [System: DeclUser BGTask kDisp]          
2021-02-01 21:25:59 +0100 Assertions          	PID 68(powerd) Created InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000082a1 [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:25:59 +0100 Assertions          	PID 68(powerd) Released InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000082a1 [System: DeclUser BGTask kDisp]          
2021-02-01 21:26:02 +0100 Assertions          	PID 68(powerd) Created InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000082a2 [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
