Num: b0=0 b1=0 b2=2 b3=ffffff9e size=4
  EPUV  [ui16]  1 (bytes 00 01)
  ERCE  [flag]  (bytes 00)
  ERCR  [ui16]  10 (bytes 00 0a)
  ERCS  [flag]  (bytes 00)
  EVCT  [hex_]  (bytes 26 06)
  EVHF  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  EVMD  [ui32]  0 (bytes 00 00 00 00)
  EVRD  [ch8*]  (bytes a3 05 00 00 01 40 f7 41 78 05 00 00 02 40 96 60 65 11 16 0f 01 40 96 60 f6 06 03 00 00 40 b2 a1)
  EVSL  [ui8 ]  0 (bytes 00)
  F0Ac  [fpe2]  0 (bytes 00 00)
  F0ID  [{fds]  (bytes 00 00 0e 00 52 69 67 68 74 20 53 69 64 65 20 20)
  F0Mn  [fpe2]  1299 (bytes 14 4c)
  F0Mt  [ui16]  0 (bytes 00 00)
  F0Mx  [fpe2]  6199 (bytes 60 dc)
  F0Tg  [fpe2]  0 (bytes 00 00)
  FNum  [ui8 ]  1 (bytes 01)
  FOFC  [ui32]  5 (bytes 00 00 00 05)
  FOf0  [sp78]  (bytes 12 00)
  FOf1  [sp78]  (bytes 08 00)
  FOf2  [sp78]  (bytes 06 00)
  FOf3  [sp78]  (bytes 00 00)
  FOf4  [sp78]  (bytes 00 00)
  FOf5  [sp78]  (bytes 08 00)
  FOff  [ui8 ]  1 (bytes 01)
  FOn0  [sp78]  (bytes 05 00)
  FOn1  [sp78]  (bytes 06 00)
  FOn2  [sp78]  (bytes 04 00)
  FOn3  [sp78]  (bytes 00 00)
  FPDc  [fp79]  (bytes 1d b0)
  FRmn  [ui16]  0 (bytes 00 00)
  FRmp  [ui16]  0 (bytes 00 00)
  FS!   [ui16]  0 (bytes 00 00)
  FSDc  [ui16]  0 (bytes 69 00)
  G3AO  [ui32]  0 (bytes 00 00 00 00)
  G3WD  [flag]  (bytes 00)
  Gb0i  [flt ]  (bytes cd cc 4c 3e)
  Gb0m  [flt ]  (bytes 00 00 70 42)
  Gb0p  [flt ]  (bytes 33 33 93 3f)
  Gb0q  [si16]  (bytes 02 00)
  Gb0r  [flt ]  (bytes 00 00 88 40)
  Gb0s  [si16]  (bytes 00 08)
  Gb0t  [si16]  (bytes 00 02)
  HBKP  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  HBKT  [ui32]  0 (bytes 00 05 46 00)
  HC0N  [ui8 ]  20 (bytes 14)
  HC0T  [ui8 ]  4 (bytes 04)
  HDBS  [ui8 ]  0 (bytes 00)
  HDST  [hex_]  (bytes 00 00 00 00)
  HDSW  [hex_]  (bytes 0a 72 0a 72)
  HI0N  [ui8 ]  12 (bytes 0c)
  HI0T  [ui8 ]  0 (bytes 00)
  HI1N  [ui8 ]  16 (bytes 10)
  HI1T  [ui8 ]  0 (bytes 00)
  HNVD  [ui16]  0 (bytes 00 00)
  IBAC  [sp78]  (bytes 01 ae)
  IBLC  [sp1e]  (bytes 00 00)
  IC0C  [sp69]  (bytes 00 1f)
  IC0R  [sp4b]  (bytes 02 b8)
  IC1C  [sp3c]  (bytes 00 00)
  IC2C  [sp69]  (bytes 04 94)
  ICMC  [sp1e]  (bytes 00 00)
  ID0R  [sp4b]  (bytes 00 03)
  IHSC  [sp2d]  (bytes 00 00)
  ILDC  [sp1e]  (bytes 00 00)
  IM0C  [sp4b]  (bytes 00 00)
  IM1C  [sp1e]  (bytes 00 00)
  IM2C  [sp1e]  (bytes 00 00)
  IO3R  [sp3c]  (bytes 00 00)
  IO5R  [sp3c]  (bytes 00 00)
  IP0R  [sp4b]  (bytes 00 25)
  IPBR  [sp5a]  (bytes 03 54)
  IR3C  [sp1e]  (bytes 00 00)
  IR5C  [sp1e]  (bytes 00 00)
  ISDC  [sp2d]  (bytes 00 00)
  ITPC  [sp3c]  (bytes 00 00)
  KDD0  [hex_]  (bytes 9d 07 bc 11 4e 0e 36 29 55 84 0e 70 8c bb f8 8e 90 e1 e0 90 f5 22 5a 62 bc 58 ba b5 ed 0a e4 6e)
  KDD1  [hex_]  (bytes 00 00 00 00 00 00 d0 96 00 00 00 00 bf 33 00 00 08 2e 00 00 00 00 0d 78 00 00 00 00 3e 7f 00 00)
  KDFT  [ui8 ]  4 (bytes 04)
