Num: b0=0 b1=0 b2=2 b3=ffffffbd size=4
  MACR  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MD0R  [ui8 ]  0 (bytes 00)
  MD0W  [ui8 ]  0 (bytes 00)
  MDr!  [ui8 ]  0 (bytes 00)
  MDw!  [ui8 ]  0 (bytes 00)
  MFIX  [ui8 ]  0 (bytes 00)
  MSAL  [hex_]  (bytes 4b)
  MSAc  [fp88]  (bytes 00 00)
  MSAf  [fp6a]  (bytes 00 00)
  MSAg  [fp88]  (bytes 00 00)
  MSBC  [ui16]  215 (bytes 0c d7)
  MSBP  [ui16]  47 (bytes 00 2f)
  MSBc  [ui16]  170 (bytes 0e aa)
  MSBp  [ui16]  73 (bytes 00 49)
  MSC0  [ui32]  54 (bytes 00 00 c8 36)
  MSCL  [ui8 ]  0 (bytes 00)
  MSDW  [flag]  (bytes 00)
  MSEP  [flag]  (bytes 01)
  MSER  [ui8 ]  5 (bytes 05)
  MSEW  [ui8 ]  20 (bytes 14)
  MSF0  [ui16]  0 (bytes 00 00)
  MSF1  [ui8 ]  0 (bytes 00)
  MSF2  [ui8 ]  0 (bytes 00)
  MSF8  [ui8 ]  0 (bytes 00)
  MSF9  [ui8 ]  0 (bytes 00)
  MSFA  [ch8*]  (bytes 00 00 00 00)
  MSFB  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSFC  [ui8 ]  0 (bytes 00)
  MSFD  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSFE  [ui8 ]  0 (bytes 00)
  MSFL  [ch8*]  (bytes 00 00 00 00)
  MSFM  [ui8 ]  0 (bytes 00)
  MSFN  [ui8 ]  0 (bytes 00)
  MSFV  [flt ]  (bytes 00 00 00 00)
  MSFW  [flag]  (bytes 00)
  MSG3  [flag]  (bytes 00)
  MSGL  [ui8 ]  0 (bytes 00)
  MSLB  [flt ]  (bytes 00 00 00 00)
  MSLC  [ui8 ]  0 (bytes 00)
  MSLD  [ui8 ]  0 (bytes 00)
  MSLF  [ui8 ]  0 (bytes 00)
  MSLG  [ui8 ]  0 (bytes 00)
  MSLP  [ui8 ]  0 (bytes 00)
  MSLS  [ui8 ]  0 (bytes 00)
  MSMD  [ui8 ]  1 (bytes 01)
  MSMF  [ui8 ]  3 (bytes 03)
  MSMN  [ui8 ]  4 (bytes 04)
  MSN0  [ui16]  1 (bytes 00 01)
  MSPA  [fp6a]  (bytes 00 00)
  MSPB  [flag]  (bytes 00)
  MSPC  [ui8 ]  1 (bytes 01)
  MSPI  [ui8 ]  12 (bytes 0c)
  MSPP  [ui8 ]  0 (bytes 00)
