Num: b0=0 b1=0 b2=2 b3=4f size=4
  IC0C  [sp78]  (bytes 05 56)
  ID2E  [sp78]  (bytes 03 52)
  ID2F  [sp78]  (bytes 03 7f)
  ID2I  [sp78]  (bytes 03 53)
  ID2J  [sp78]  (bytes 00 2d)
  ID2L  [ui16]  0 (bytes 04 00)
  ID2R  [sp69]  (bytes 06 a8)
  ID2S  [si16]  (bytes 99 cc)
  ID2T  [sp78]  (bytes ff ff)
  IH1R  [sp3c]  (bytes 00 00)
  IM0R  [sp5a]  (bytes 02 62)
  KDD0  [hex_]  (bytes e3 b5 36 36 76 64 c1 f6 6a f8 e2 e1 61 fb eb cc 12 3b 23 d9 59 81 63 81 f2 30 d4 c1 00 00 ce 8d)
  KDD1  [hex_]  (bytes 00 00 00 00 00 00 d0 96 00 00 00 00 6a 21 00 00 00 00 00 00 00 00 0d 78 00 00 00 00 36 6f 00 00)
  KDFT  [ui8 ]  1 (bytes 01)
  KDTP  [ui8 ]  1 (bytes 01)
  LAcN  [ui8 ]  0 (bytes 00)
  LAtN  [ui16]  0 (bytes 00 00)
  LC2D  [ui16]  69 (bytes 00 45)
  LC2E  [ui16]  69 (bytes 00 45)
  LCCC  [ui8 ]  0 (bytes 00)
  LCCN  [ui8 ]  5 (bytes 05)
  LCCQ  [ui8 ]  5 (bytes 05)
  LCKA  [ui8 ]  20 (bytes 14)
  LCKN  [ui8 ]  35 (bytes 23)
  LCLD  [ui16]  0 (bytes 00 00)
  LCLG  [ui8 ]  0 (bytes 00)
  LCSA  [ui8 ]  0 (bytes 00)
  LCTN  [ui8 ]  198 (bytes c6)
  LCTQ  [ui8 ]  31 (bytes 1f)
  LDEN  [ui16]  0 (bytes 00 00)
  LDI2  [ui8 ]  1 (bytes 01)
  LDKN  [ui8 ]  2 (bytes 02)
  LDLG  [ui8 ]  0 (bytes 00)
  LDLT  [ui8 ]  1 (bytes 01)
  LDS4  [ui8 ]  0 (bytes 00)
  LDSP  [flag]  (bytes 00)
  LDT1  [ui8 ]  0 (bytes 00)
  LDT2  [ui16]  0 (bytes 00 00)
  LDT4  [ui32]  0 (bytes 00 00 00 00)
  LDTF  [ui16]  0 (bytes 00 00)
  LDWE  [ui32]  0 (bytes 00 00 2d 00)
  LPMC  [ui32]  0 (bytes 00 00 00 00)
  MACA  [ui32]  0 (bytes 00 00 00 00)
  MACM  [flag]  (bytes 01)
  MACR  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MD0R  [ui8 ]  0 (bytes 00)
  MD0W  [ui8 ]  0 (bytes 00)
  MD1R  [ui8 ]  0 (bytes 00)
  MD1W  [ui8 ]  0 (bytes 00)
  MDMT  [flag]  (bytes 00)
  MDSC  [hex_]  (bytes 05)
  MDr!  [ui8 ]  0 (bytes 00)
  MDw!  [ui8 ]  0 (bytes 00)
  MSAL  [hex_]  (bytes 4b)
  MSAc  [fp88]  (bytes 00 00)
  MSAf  [fp6a]  (bytes 00 00)
  MSAg  [fp88]  (bytes 00 00)
  MSC0  [ui32]  0 (bytes 00 00 00 00)
  MSDV  [hex_]  (bytes 82)
  MSDW  [flag]  (bytes 00)
  MSEP  [flag]  (bytes 01)
  MSF0  [ui16]  0 (bytes 00 00)
  MSF1  [ui8 ]  0 (bytes 00)
  MSF2  [ui8 ]  0 (bytes 00)
  MSF9  [ui8 ]  0 (bytes 00)
  MSFA  [ch8*]  (bytes 00 00 00 00)
  MSFB  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSFC  [ui8 ]  0 (bytes 00)
  MSFD  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSFE  [ui8 ]  0 (bytes 00)
  MSFL  [ch8*]  (bytes 00 00 00 00)
  MSFM  [ui8 ]  0 (bytes 00)
  MSFN  [ui8 ]  0 (bytes 00)
  MSFV  [flt ]  (bytes 00 00 00 00)
  MSFW  [flag]  (bytes 00)
  MSG3  [flag]  (bytes 00)
  MSLD  [ui8 ]  0 (bytes 00)
  MSLF  [ui8 ]  0 (bytes 00)
  MSLG  [ui8 ]  0 (bytes 00)
  MSLP  [ui8 ]  0 (bytes 00)
  MSLS  [ui8 ]  0 (bytes 00)
  MSLT  [flt ]  (bytes 00 00 00 00)
  MSLU  [flt ]  (bytes 00 00 00 00)
  MSN0  [ui16]  2 (bytes 00 02)
  MSPA  [fp6a]  (bytes 00 00)
  MSPB  [flag]  (bytes 00)
  MSPC  [ui8 ]  9 (bytes 09)
  MSPI  [ui8 ]  12 (bytes 0c)
  MSPP  [ui8 ]  0 (bytes 00)
  MSPR  [ui16]  1 (bytes 00 01)
  MSPS  [hex_]  (bytes 00 02)
  MSPT  [ui8 ]  20 (bytes 14 0c 00 09 00)
  MSPV  [ui8 ]  0 (bytes 00)
  MSQC  [hex_]  (bytes 00 00)
  MSQL  [ui8 ]  2 (bytes 02)
  MSQM  [ui8 ]  4 (bytes 04)
  MSQN  [flag]  (bytes 00)
  MSQO  [ui8 ]  120 (bytes 78)
  MSQS  [flag]  (bytes 00)
  MSQW  [ui16]  103 (bytes 02 67)
  MSRC  [ui32]  2 (bytes 00 00 00 02)
  MSRF  [ui8 ]  0 (bytes 00)
  MSRR  [ui8 ]  0 (bytes 00)
  MSSD  [si8 ]  (bytes 00)
  MSSF  [ui32]  0 (bytes 00 00 00 00)
  MSSG  [ui32]  0 (bytes 00 00 00 00)
  MSSP  [si8 ]  (bytes 05)
  MSSR  [flag]  (bytes 01)
  MSSS  [{mss]  (bytes 00)
  MSSW  [flag]  (bytes 00)
  MSTC  [ui16]  0 (bytes 00 00)
  MSTD  [ui16]  0 (bytes 00 00)
  MSTS  [ui8 ]  11 (bytes 0b)
  MSTc  [ui8 ]  0 (bytes 00)
  MSTe  [ui8 ]  0 (bytes 00)
  MSTf  [ui8 ]  0 (bytes 00)
  MSTi  [ui8 ]  0 (bytes 00)
  MSTj  [ui8 ]  0 (bytes 00)
  MSWd  [flag]  (bytes 01)
  MSWo  [flag]  (bytes 01)
  MSWr  [ui8 ]  0 (bytes 00)
  MSX0  [ui16]  0 (bytes 00 00)
  MSX2  [ui8 ]  0 (bytes 00)
  MSX9  [ui8 ]  0 (bytes 00)
  MSXA  [ch8*]  (bytes 00 00 00 00)
  MSXC  [ch8*]  (bytes 00 00 00 00)
  MSXD  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXH  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXK  [ch8*]  (bytes 01 02 03 04 05 06 07 08 09 0a 0b 0c 0d 0e 0f 10 11 12 13 14 15 16 17 18 19 1a 1b 1c 1d 1e 1f 20)
  MSXL  [ch8*]  (bytes 00 00 fd e8 00 00 fd e8 00 00 fd e8 00 00 fd e8)
  MSXN  [ui8 ]  65 (bytes 41)
  MSXP  [ui32]  0 (bytes 00 00 00 00)
  MSXS  [ch8*]  (bytes 01 02 03 04)
  MSXT  [ui32]  255 (bytes ff ff ff ff)
  MSXb  [ui8 ]  0 (bytes 00)
  MSXc  [ch8*]  (bytes 00 00 00 00)
  MSXd  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXh  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXk  [ch8*]  (bytes 01 02 03 04 05 06 07 08 09 0a 0b 0c 0d 0e 0f dc dd de eb ec ed f0 f1 f4 00 00 00 00 00 00 00 00)
  MSXl  [ch8*]  (bytes 00 00 fd e8 00 00 fd e8 00 00 fd e8 00 00 fd e8)
  MSXm  [ui16]  8 (bytes 00 08)
  MSXn  [ui8 ]  24 (bytes 18)
  MSXs  [ui32]  4 (bytes 01 02 03 04)
  MSXt  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSa!  [hex_]  (bytes 00)
  MSac  [ui8 ]  0 (bytes 00)
  MSaf  [ui8 ]  0 (bytes 00)
  MSag  [ui8 ]  0 (bytes 00)
  MSap  [ui8 ]  0 (bytes 00)
  MSbo  [flag]  (bytes 01)
  MSt0  [flt ]  (bytes 00 00 00 00)
  MSt1  [flt ]  (bytes 00 00 00 00)
  MSt2  [flt ]  (bytes 00 00 00 00)
  MSt3  [flt ]  (bytes 00 00 00 00)
  MSt4  [flt ]  (bytes 00 00 00 00)
  MSt5  [flt ]  (bytes 00 00 00 00)
  NATJ  [ui8 ]  0 (bytes 00)
  NATi  [ui16]  0 (bytes 00 00)
  NOPB  [ui8 ]  0 (bytes 00)
  NTOK  [ui8 ]  0 (bytes 00)
  ONMI  [ui8 ]  0 (bytes 00)
  OOBC  [ui8 ]  0 (bytes 00 00)
  OOBR  [ui8 ]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OOBS  [ui8 ]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OOBT  [ui8 ]  0 (bytes 00 00)
  OOBW  [ui8 ]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OSSS  [ui8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OSWD  [ui16]  27 (bytes 00 1b)
  PC0C  [sp96]  (bytes 02 67)
  PCPC  [sp96]  (bytes 02 12)
  PCPL  [sp96]  (bytes 03 c0)
  PCPR  [sp96]  (bytes 02 67)
  PCPT  [sp96]  (bytes 02 7e)
  PCTR  [sp96]  (bytes 02 d3)
  PD2R  [sp96]  (bytes 0a 0c)
  PDTR  [sp96]  (bytes 0a 0c)
  PDTx  [sp96]  (bytes 00 18)
  PH0F  [sp78]  (bytes 00 00)
  PH1F  [sp78]  (bytes 00 00)
  PH1R  [sp96]  (bytes 00 00)
  PM0R  [sp96]  (bytes 00 2d)
  PM0f  [sp2d]  (bytes 81 00)
  PSTR  [sp96]  (bytes 0a 0c)
