Num: b0=0 b1=0 b2=1 b3=14 size=4
  Sp2W  [sp78]  (bytes 5b 00)
  Sp3F  [sp78]  (bytes 54 00)
  Sp3P  [sp78]  (bytes 59 00)
  Sp3S  [sp78]  (bytes 5e 00)
  SpCC  [fp6a]  (bytes 44 0c)
  SpCD  [fp6a]  (bytes 08 00)
  SpCI  [ui8 ]  (bytes 04)
  SpCL  [fp6a]  (bytes 00 00)
  SpCP  [fp6a]  (bytes 47 5e)
  SpCR  [fp6a]  (bytes 00 00)
  SpCS  [si16]  (bytes 06 c8)
  SpCT  [fpc4]  (bytes 12 16)
  TA0P  [sp78]  (bytes 17 3b)
  TA0V  [sp78]  (bytes 17 19)
  TA0p  [sp78]  (bytes 18 f0)
  TC0C  [sp78]  (bytes 2d 78)
  TC0H  [sp78]  (bytes 29 a0)
  TC1C  [sp78]  (bytes 31 00)
  TG0D  [sp78]  (bytes 36 c0)
  TG0H  [sp78]  (bytes 34 60)
  TG0p  [sp78]  (bytes 36 00)
  TH0O  [sp78]  (bytes 01 00)
  TH0o  [hex_]  (bytes 0f)
  TH1O  [sp78]  (bytes 01 00)
  TL0P  [sp78]  (bytes 24 83)
  TL0V  [sp78]  (bytes 26 eb)
  TL0p  [sp78]  (bytes 31 b0)
  TL1V  [sp78]  (bytes 24 ac)
  TL2V  [sp78]  (bytes 27 fd)
  TLAV  [sp78]  (bytes 27 fd)
  TLBV  [sp78]  (bytes 27 19)
  TLCV  [sp78]  (bytes 26 eb)
  TMCD  [sp78]  (bytes 31 00)
  TO0P  [sp78]  (bytes 27 50)
  TO0p  [sp78]  (bytes 28 50)
  TPCD  [sp78]  (bytes 3b 00)
  TS0V  [sp78]  (bytes 24 4e)
  TS2P  [sp78]  (bytes 26 00)
  TS2V  [sp78]  (bytes 23 25)
  TS2p  [sp78]  (bytes 26 00)
  Tm0P  [sp78]  (bytes 2f 50)
  Tm0p  [sp78]  (bytes 2f 50)
  Tm1P  [sp78]  (bytes 33 60)
  Tm1p  [sp78]  (bytes 33 60)
  Tp1P  [sp78]  (bytes 31 40)
  Tp2H  [sp78]  (bytes 38 20)
  Tp3H  [sp78]  (bytes 32 80)
  UPRC  [ui16]  69 (bytes 08 45)
  VC0C  [sp1e]  (bytes 4e cf)
  VC0c  [ui16]  64 (bytes 60 40)
  VC5R  [sp1e]  (bytes 00 03)
  VC8R  [sp2d]  (bytes 39 9a)
  VCVR  [sp1e]  (bytes 47 79)
  VDPR  [sp78]  (bytes 0c 0e)
  VDPr  [ui16]  24 (bytes 2f 18)
  VDSR  [spf0]  (bytes 07 86)
  VG0R  [sp4b]  (bytes 60 14)
  WVr0  [ui8 ]  6 (bytes 06)
  WVr2  [ui8 ]  5 (bytes 05)
  WVw0  [ui8 ]  0 (bytes 00)
  WVw2  [ui8 ]  2 (bytes 02)
  WVz2  [ui8 ]  2 (bytes 02)
  dBA0  [sp78]  (bytes 07 12)
  dBA1  [sp78]  (bytes 0c b6)
  dBA2  [sp78]  (bytes 0f 7f)
  dBAH  [sp78]  (bytes 11 00)
  dBAT  [sp78]  (bytes 15 00)
  zDBG  [ui8 ]  (bytes 00)
