Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   48    0 0xffffff7f82377000 0x7000     0x7000     com.apple.driver.AppleSMCRTC (1.0) 1ADF1FB2-C0F2-3654-BFDE-1B5E22586D80 <14 12 8 6 5 3 1>
   49    0 0xffffff7f824d6000 0x4000     0x4000     com.apple.driver.AppleACPIButtons (6.1) 3E10FDF1-F46D-373D-9D81-57100A578823 <43 18 15 12 8 7 6 5 3 1>
   50    2 0xffffff7f81356000 0x5000     0x5000     com.apple.driver.AppleEFIRuntime (2.1) 80279364-4D02-369D-A897-F24BEE927056 <8 7 6 5 3>
   51    3 0xffffff7f8135b000 0xb000     0xb000     com.apple.driver.AppleEFINVRAM (2.1) F4A17785-870D-3302-B0A4-96F2B73084B0 <50 8 7 6 5 3 1>
   52    0 0xffffff7f841e8000 0x3000     0x3000     com.apple.private.KextAudit (1.0) 7017B499-A4DD-305C-9DD6-56EABF4B464A <14 8 7 6 5 3>
   53    1 0xffffff7f81366000 0x9a000    0x9a000    com.apple.iokit.IOUSBFamily (900.4.2) ED210399-4500-3D88-A69C-9DFFA667ACAE <23 22 13 8 6 5 3 1>
   54    0 0xffffff7f81695000 0x5000     0x5000     com.apple.driver.usb.AppleUSBHostPacketFilter (1.0) 32F57959-FC9E-3E40-B8D3-4426937E40E3 <23 22 8 7 6 5 3 1>
   55    1 0xffffff7f8156f000 0x56000    0x56000    com.apple.driver.usb.AppleUSBXHCI (1.2) A739FEFC-68D8-3159-B07A-65DEFC9A50D9 <23 22 12 8 7 6 5 3 1>
   56    0 0xffffff7f8169a000 0x2f000    0x2f000    com.apple.driver.usb.AppleUSBXHCIPCI (1.2) 72CB1BD3-92DC-3666-A213-A9DE98ED0C9A <55 23 22 13 12 8 7 6 5 3 1>
   57    2 0xffffff7f825f8000 0x1a000    0x1a000    com.apple.iokit.IOAHCIFamily (288) D2B936BB-2097-3141-AE8C-856C1C7E4B27 <6 5 3 1>
   58    0 0xffffff7f83cd3000 0x14000    0x14000    com.apple.driver.AppleAHCIPort (329.200.2) AF937FB0-5226-3DDC-A410-00B1B264BD4E <57 13 6 5 3 1>
   59    0 0xffffff7f8394e000 0x3f000    0x3f000    com.apple.iokit.IONVMeFamily (2.1.0) 4BDFFFB5-F432-39CF-91B3-47C4605413DC <51 31 27 18 13 8 7 6 5 3 1>
   60    0 0xffffff7f82622000 0x28000    0x28000    com.apple.iokit.IOAHCIBlockStorage (301.250.5) 4E6B6CAA-B333-313F-B267-2FF747B76C17 <57 51 27 7 6 5 3 1>
   61    0 0xffffff7f8369d000 0xa000     0xa000     com.apple.driver.AppleXsanScheme (3) 40D3D0A7-BE79-3FA6-8E61-F8651281FCF7 <27 6 5 3 1>
   62    1 0xffffff7f81b28000 0x101000   0x101000   com.apple.filesystems.apfs (945.250.134) 137C8A62-34DD-3CB4-BC2C-D61038351F11 <34 27 9 8 7 6 5 3 1>
   63   10 0xffffff7f8264e000 0x2a000    0x2a000    com.apple.driver.corecapture (1.0.4) DF649549-D3A8-38DF-AFB4-09355E67B745 <8 7 6 5 3 1>
   64    2 0xffffff7f8276b000 0x100000   0x100000   com.apple.iokit.IO80211FamilyV2 (1200.12.2) EC79E466-7C6A-3761-A90F-2555C5E56E6F <63 31 16 9 8 7 6 5 3 1>
   65    7 0xffffff7f824fe000 0xe000     0xe000     com.apple.iokit.IOSerialFamily (11) D3BECF1C-4240-35ED-9D9F-F695671FEA47 <8 7 6 5 3 1>
   66    8 0xffffff7f82681000 0x1b000    0x1b000    com.apple.driver.IOImageLoader (1.0.0) E9A3D09E-5980-387B-A68D-95D769483652 <63 9 8 7 6 5 3 1>
   67    2 0xffffff7f826b8000 0x8000     0x8000     com.apple.driver.mDNSOffloadUserClient (1.0.1b8) 5223890C-A0F0-33C7-82ED-526A0E3334C4 <16 5 3 1>
   68    1 0xffffff7f82876000 0x1ff000   0x1ff000   com.apple.driver.AppleBCMWLANCore (1.0.0) 02CEF995-8CA5-3E55-BA5A-648E85EE7461 <67 66 65 64 63 31 17 16 9 8 7 6 5 3 1>
   69    0 0xffffff7f836a7000 0x42000    0x42000    com.apple.driver.AppleBCMWLANBusInterfacePCIe (1) 89F71CA8-6483-3E02-BA94-F78CC2EFFD46 <68 66 64 63 16 13 8 7 6 5 3 1>
   70    3 0xffffff7f81caa000 0x7000     0x7000     com.apple.iokit.IOEthernetAVBController (1.1.0) 5490E407-DE20-325A-831B-5308BD852E41 <16 6 5 3 1>
   71    0 0xffffff7f826c0000 0x44000    0x44000    com.apple.iokit.AppleBCM5701Ethernet (10.3.3) 73DEF1A3-7055-3755-910F-07A471A8CAE8 <70 67 16 13 12 7 6 5 3 1>
   72    0 0xffffff7f838fb000 0x12000    0x12000    com.apple.driver.AppleSDXC (1.7.6) 26E1B576-838A-3AA6-8598-87874BE37587 <27 18 13 6 5 3 1>
   73    8 0xffffff7f81db8000 0xec000    0xec000    com.apple.iokit.IOThunderboltFamily (6.8.4) AD7B0B5D-B4C2-30D8-89E1-1B30B5C756B5 <6 5 3 1>
   74    0 0xffffff7f84230000 0x20000    0x20000    com.apple.driver.AppleThunderboltNHI (4.7.6) 31AF0A1C-77B1-3AFB-91E2-347E408E08A1 <73 13 12 7 6 5 3 1>
   75    1 0xffffff7f814e3000 0xa000     0xa000     com.apple.driver.AppleIntelLpssI2C (3.0.60) AA100DB9-CE4A-303E-B632-6E48094F4891 <13 12 8 6 5 3>
   76    1 0xffffff7f814ed000 0x8000     0x8000     com.apple.driver.AppleIntelLpssDmac (3.0.60) 18512244-79A1-3DD2-9B95-595471EDE956 <13 12 6 5 3>
   77    1 0xffffff7f814f5000 0x19000    0x19000    com.apple.driver.AppleIntelLpssI2CController (3.0.60) FF7418DF-5FAC-3D9B-B9B2-2015B7ABA3B3 <76 75 12 8 6 5 3>
   78    0 0xffffff7f84052000 0xf000     0xf000     com.apple.driver.AppleHPM (3.3.4) 4DAEAD00-52DF-317F-8855-2D41A23FBF74 <77 73 12 6 5 3 1>
   79    3 0xffffff7f81ec3000 0xf000     0xf000     com.apple.driver.AppleThunderboltDPAdapterFamily (5.6.2) 148BA11D-1863-3A9F-940C-9156CBD9A24E <73 12 6 5 3 1>
   80    0 0xffffff7f81ed2000 0x6000     0x6000     com.apple.driver.AppleThunderboltDPInAdapter (5.6.2) 36A1EAF2-9A5D-36FA-8E29-3593D932DB14 <79 73 6 5 3 1>
   81    0 0xffffff7f8372e000 0x5000     0x5000     com.apple.driver.AppleThunderboltPCIDownAdapter (2.1.4) 3E3201A6-1485-3AAC-B7A9-6B0662758336 <73 13 6 5 3 1>
   82    0 0xffffff7f811e1000 0x8000     0x8000     com.apple.AppleSystemPolicy (1.0) 94AD063D-3EBC-3CC7-BE2B-7FE1B263A7ED <39 38 31 8 7 6 5 3 2 1>
   83    1 0xffffff7f8141f000 0x8000     0x8000     com.apple.filesystems.hfs.encodings.kext (1) 1B91060E-717F-3569-A2B6-BE8DCE9AFB03 <8 7 6 5 3 1>
   84    0 0xffffff7f814a7000 0xd000     0xd000     com.apple.AppleFSCompression.AppleFSCompressionTypeZlib (1.0.0) E9651FF3-2626-3817-9819-575A882414DD <7 5 3 2 1>
   85    0 0xffffff7f81d7b000 0x10000    0x10000    com.apple.BootCache (40) 1DEAD4DD-1FA3-3B60-8B16-2AD175C5D39A <8 7 6 5 3 1>
   86    0 0xffffff7f82c22000 0x3000     0x3000     com.apple.AppleFSCompression.AppleFSCompressionTypeDataless (1.0.0d1) 81E09389-3721-3BAA-8B0D-4B8534CDB79F <8 7 5 3 2 1>
   87    1 0xffffff7f83b07000 0x68000    0x68000    com.apple.filesystems.hfs.kext (407.200.4) 001D9666-8022-361B-AA1C-48ECD6420283 <83 8 7 6 5 3 1>
   88    0 0xffffff7f83d52000 0x13000    0x13000    com.apple.driver.AppleVirtIO (2.1.3) 12648254-1B34-3C29-A5F4-A3FA7ED2CAAF <65 27 13 6 5 3 1>
   89    0 0xffffff7f80fae000 0x2000     0x2000     com.apple.driver.AppleFileSystemDriver (3.0.1) 2342BD1A-285F-343E-B137-87051346A82D <27 5 3>
   90    0 0xffffff7f8269f000 0x3000     0x3000     com.apple.driver.AppleBCMWLANCoreV3.Datastore (1) 50F0F53F-6E31-3DE6-9624-89949B83C630 <66 63 6 5 3 1>
   91    0 0xffffff7f82e46000 0x223000   0x223000   com.apple.driver.BCMWLANFirmware4364.Datastore (1) 34776F2D-A29D-3870-AF6B-1FDDCB2CC562 <66 63 6 5 3 1>
   92    0 0xffffff7f83724000 0x4000     0x4000     com.apple.driver.BCMWLANFirmware4355.Hashstore (1) 6D1981F3-A80B-346D-93B9-FEE1F866D2F4 <66 63 6 5 3 1>
   93    0 0xffffff7f83abf000 0x6000     0x6000     com.apple.driver.BCMWLANFirmware4377.Hashstore (1) 9BCD8B9D-A3B2-3C9B-9D23-D069CAB56970 <66 63 6 5 3 1>
   94    0 0xffffff7f84065000 0xd5000    0xd5000    com.apple.driver.BCMWLANFirmware4355.Datastore (1) F4CFD24A-CF92-3146-A3EE-58D93B235C48 <66 63 6 5 3 1>
   95    0 0xffffff7f841ee000 0xf000     0xf000     com.apple.driver.BCMWLANFirmware4364.Hashstore (1) 7585E855-4A7D-3575-BD1D-CF2BE471494B <66 63 6 5 3 1>
   96    1 0xffffff7f8133d000 0x8000     0x8000     com.apple.driver.usb.AppleUSBHostCompositeDevice (1.2) 33AD853D-FE8A-3B0E-9D84-2929B21151A5 <23 22 7 6 5 3 1>
   97    1 0xffffff7f814d3000 0x8000     0x8000     com.apple.driver.usb.networking (5.0.0) 6C298938-08F7-3424-9329-FB230C1651E3 <23 7 6 5 3 1>
   98    0 0xffffff7f814db000 0x8000     0x8000     com.apple.driver.usb.cdc (5.0.0) 853D825D-98BC-32DD-A4E9-112E3A9E0012 <97 96 23 6 5 3 1>
   99   23 0xffffff7f8142d000 0x4c000    0x4c000    com.apple.iokit.IOGraphicsFamily (530.60) C0D38CF3-52C2-32F5-A9E5-3811BBEAB56F <13 8 6 5 3 1>
