Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
  121    0 0xfffffe0007544000 0x8000     0x8000     com.apple.driver.AppleT8103PMGR (1) FE417685-F762-3F51-B3FA-ACAB83AE95AA <120 16 9 7 6 5 4 3 1>
  122    4 0xfffffe0007324000 0x4000     0x4000     com.apple.driver.AppleFirmwareKit (1) 58A829E6-5D05-36DE-9976-BF85B03F9192 <48 38 37 28 16 13 7 6 5 4 3 1>
  123    2 0xfffffe0007284000 0x4000     0x4000     com.apple.driver.AppleDCP (1) 5B73237A-885E-3E66-A806-AFC0DA0028BA <122 48 16 4 3>
  124    1 0xfffffe0007854000 0x4000     0x4000     com.apple.iokit.IOMobileGraphicsFamily-DCP (343.0.0) D6203B54-E785-3361-9E47-B5BEBCBC89B7 <123 89 48 37 33 27 26 20 16 7 6 5 4 3 1>
  125    0 0xfffffe0007408000 0x4000     0x4000     com.apple.driver.AppleMobileDispH13G-DCP (140.0) 3BC24F2E-1687-35FA-B711-BFE9469DE6CD <124 89 48 39 37 34 33 27 26 16 7 5 4 3 1>
  126    0 0xfffffe0007538000 0x4000     0x4000     com.apple.driver.AppleT8103CLPCv3 (1) 26CFE189-5FC0-3FA2-BB49-294CE46F6B3A <120 26 16 13 9 7 6 5 4 3 1>
  127    0 0xfffffe000752c000 0x4000     0x4000     com.apple.driver.AppleT8020SOCTuner (1) 65478BC3-0674-37DD-8853-5E8E02437D04 <120 16 13 7 6 5 4 3 1>
  128    0 0xfffffe0007460000 0x10000    0x10000    com.apple.driver.ApplePassthroughPPM (3.0) 7D9DEC4A-4CFE-3C3F-BBE2-C0470B380B2B <120 13 9 7 5 4 3 1>
  129    2 0xfffffe0007664000 0x4000     0x4000     com.apple.driver.DCPAVFamilyProxy (1) BC22237D-8900-33E4-BD98-6AF210D88370 <122 33 16 3>
  130    0 0xfffffe0007080000 0x140000   0x140000   com.apple.driver.AppleAVE2 (401.73.0) 646B48D8-141E-3B68-920E-65A96926833C <26 16 7 5 4 3 1>
  131    0 0xfffffe00074c0000 0x4000     0x4000     com.apple.driver.AppleSPMI (1.0.1) F915B14C-3E1A-3B94-8CC9-3E155F2EF45D <16 7 5 4 3 1>
  132    4 0xfffffe0007984000 0x4000     0x4000     com.apple.driver.usb.AppleUSBHostCompositeDevice (1.2) 6417FB50-DD0B-32A7-94C1-945386BCF8F0 <52 50 6 5 4 3 1>
  133    1 0xfffffe0007990000 0x8000     0x8000     com.apple.driver.usb.AppleUSBHub (1.2) F7CB51A6-3BCB-31F6-8779-EFE4D81494D8 <52 50 5 4 3 1>
  134    2 0xfffffe00072fc000 0x4000     0x4000     com.apple.driver.AppleEmbeddedUSBHost (1) 0FBEE496-2BDB-3E86-9DCC-CB152DECBA6D <133 132 52 51 50 20 7 6 5 4 3 1>
  135    2 0xfffffe00079a0000 0xc000     0xc000     com.apple.driver.usb.AppleUSBXHCI (1.2) 9F4BF39C-F162-33C6-BC85-F2726FB8CAD9 <52 50 45 16 7 6 5 4 3 1>
  136    1 0xfffffe0007630000 0x4000     0x4000     com.apple.driver.usb.AppleUSBXHCIARM (1) 5F50E44E-1127-33C0-BCE0-F95C959CEAF7 <135 134 100 52 50 45 16 7 6 5 4 3 1>
  137    0 0xfffffe0007618000 0x8000     0x8000     com.apple.driver.usb.AppleUSBHostT8103 (1) EE592170-219C-38F7-BA31-D81E02C07B42 <136 135 134 102 52 50 45 16 7 6 5 4 3 1>
  138    3 0xfffffe0007930000 0x8000     0x8000     com.apple.iokit.IOUSBDeviceFamily (2.0.0) 16364A54-5FAF-387C-94C1-1BD15F286FD2 <50 5 4 3 1>
  139    1 0xfffffe0007948000 0xc000     0xc000     com.apple.driver.AppleUSBXDCI (1.0) 7665C456-E4D0-31BC-A445-57E3DA95F478 <138 5 4 3 1>
  140    0 0xfffffe0007954000 0x4000     0x4000     com.apple.driver.AppleUSBXDCIARM (1.0) 40A401CE-F58F-3C17-B11C-29F9BBC76D9B <139 138 100 45 16 5 4 3 1>
  141    0 0xfffffe0007518000 0x4000     0x4000     com.apple.driver.AppleSummitLCD (1.0.0) 15172EB8-9311-34A2-9AC3-21178D072647 <33 16 7 5 4 3 1>
  142    1 0xfffffe0007818000 0x8000     0x8000     com.apple.iokit.IOGPUFamily (21.5) 67E9EBF7-F7E9-3037-B30D-F78AAAF51045 <71 61 26 20 13 7 6 5 4 3 1>
  143    0 0xfffffe0007014000 0xc000     0xc000     com.apple.AGXG13G (173.13) 238A03C4-5A67-3ACA-8EED-960FE56F94DE <142 48 26 20 16 13 9 7 6 5 4 3 1>
  144    0 0xfffffe00075d8000 0x1c000    0x1c000    com.apple.driver.AppleT8103TypeCPhy (1) 59F25979-05FF-3D3A-A6F2-9B7421FE5B36 <100 5 4 3 1>
  145    0 0xfffffe000705c000 0x24000    0x24000    com.apple.driver.AppleAVD (376) 380BBF83-7AB3-3B6F-8E35-01BF7570605A <68 26 16 7 5 4 3 1>
  146    0 0xfffffe0007334000 0x1c000    0x1c000    com.apple.driver.AppleH11ANEInterface (4.74.0) F3E17198-3298-3D53-AC44-8E9D55C71AAD <26 16 13 10 7 6 5 4 3 1>
  147    0 0xfffffe00074e4000 0x4000     0x4000     com.apple.driver.AppleStockholmControl (1.0.0) 743D5C65-340C-3A1C-8C95-E82D626775F5 <44 16 7 5 4 3 1>
  148    4 0xfffffe00073a8000 0x4000     0x4000     com.apple.driver.AppleInputDeviceSupport (4400.35) 33F94A3D-E1F0-3F82-B897-6402F4923D07 <66 37 28 6 5 4 3 1>
  149    1 0xfffffe0007384000 0x8000     0x8000     com.apple.driver.AppleHIDTransport (4400.35) DB188E5D-55FC-3601-9511-06477B616B2F <148 49 35 16 6 5 4 3 1>
