Num: b0=0 b1=0 b2=3 b3=59 size=4
  D2Cn  [ui16]  0 (bytes 00 00)
  D2Cr  [ui16]  0 (bytes 00 00)
  D2Cs  [ui16]  0 (bytes 00 00)
  D2Cv  [ui16]  0 (bytes 00 00)
  D2Cw  [ui16]  0 (bytes 00 00)
  D2DA  [hex_]  (bytes 00 70)
  D2DE  [ui8 ]  0 (bytes 00)
  D2DI  [ui8 ]  1 (bytes 01)
  D2DP  [hex_]  (bytes 00 00 00 00 00 00 00 00)
  D2DR  [flag]  (bytes 01)
  D2FC  [ui32]  0 (bytes 00 00 00 00)
  D2FV  [hex_]  (bytes 00 06 96 00)
  D2IC  [ui16]  255 (bytes ff ff)
  D2IR  [ui16]  0 (bytes 00 00)
  D2JA  [ui32]  76 (bytes 00 00 1d 4c)
  D2JB  [ui32]  76 (bytes 00 00 1d 4c)
  D2JD  [{jst]  (bytes 00 00 00 00 00 00 00 00 1d 4c 1d 4c 00 00 00 00 1d 4c 00 00 00)
  D2JR  [si32]  (bytes 4c 1d 00 00)
  D2JS  [si32]  (bytes 4c 1d 00 00)
  D2LR  [ui8 ]  0 (bytes 00)
  D2PI  [si8 ]  (bytes 00)
  D2PT  [ui8 ]  0 (bytes 00)
  D2ST  [ui8 ]  0 (bytes 00)
  D2St  [hex_]  (bytes 00 00)
  D2VC  [ui16]  0 (bytes 00 00)
  D2VD  [flt ]  (bytes 00 00 00 00)
  D2VM  [ui16]  0 (bytes 00 00)
  D2VR  [ui16]  0 (bytes 00 00)
  D2VX  [ui16]  0 (bytes 00 00)
  D2if  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00)
  D2ih  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00)
  D2ii  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D2im  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
