Num: b0=0 b1=0 b2=1 b3=ffffffef size=4
  MScr  [hex_]  (bytes 00 00)
  MSei  [ui8 ]  (bytes 00)
  MSer  [hex_]  (bytes 00 00)
  MSii  [ui8 ]  (bytes 00)
  MSir  [hex_]  (bytes 00 00)
  NATJ  [ui8 ]  0 (bytes 00)
  NATi  [ui16]  0 (bytes 00 00)
  NOPB  [ui8 ]  0 (bytes 00)
  NTOK  [ui8 ]  0 (bytes 00)
  ONMI  [ui8 ]  0 (bytes 00)
  OOBC  [ui8 ]  (bytes 00 00)
  OOBR  [ui8 ]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OOBS  [ui8 ]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OOBT  [ui8 ]  (bytes 00 00)
  OOBW  [ui8 ]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  PC0C  [sp96]  (bytes 06 62)
  PC0G  [sp96]  (bytes 00 00)
  PC0I  [sp96]  (bytes 00 5a)
  PC0M  [sp96]  (bytes 00 3d)
  PC0S  [sp96]  (bytes 00 41)
  PCPC  [sp96]  (bytes 05 e4)
  PCPG  [sp96]  (bytes 00 00)
  PCPL  [sp96]  (bytes 13 40)
  PCPT  [sp96]  (bytes 07 0f)
  PCTR  [sp96]  (bytes 08 65)
  PD2R  [sp96]  (bytes 14 c4)
  PDTR  [sp96]  (bytes 14 c4)
  PG0C  [sp96]  (bytes 00 35)
  PG0F  [sp96]  (bytes 00 80)
  PGTR  [sp96]  (bytes 02 2b)
  PH02  [sp96]  (bytes 00 01)
  PH05  [sp96]  (bytes 00 25)
  PH0F  [sp78]  (bytes 01 16)
  PH0R  [sp96]  (bytes 00 27)
  PH1F  [sp78]  (bytes 00 00)
  PH1R  [sp96]  (bytes 00 00)
  PM0R  [sp96]  (bytes 00 6e)
  PM0f  [sp2d]  (bytes 01 98)
  PN1R  [sp96]  (bytes 00 5c)
  PR1R  [sp96]  (bytes 00 79)
  PSTR  [sp96]  (bytes 14 c4)
  PW0R  [sp96]  (bytes 00 00)
  PZ0E  [sp96]  (bytes 28 00)
  PZ0F  [sp96]  (bytes 09 2c)
  PZ0G  [sp96]  (bytes 0a 91)
  PZ0T  [si8 ]  (bytes 21)
  PZ1E  [sp96]  (bytes 1a 40)
  PZ1F  [sp96]  (bytes 02 41)
  PZ1G  [sp96]  (bytes 02 2b)
  PZ1T  [si8 ]  (bytes 00)
  PZ2E  [sp96]  (bytes 15 80)
  PZ2F  [sp96]  (bytes 00 38)
  PZ2G  [sp96]  (bytes 00 35)
  PZ2T  [si8 ]  (bytes 00)
  PZ3E  [sp96]  (bytes 08 60)
  PZ3F  [sp96]  (bytes 00 87)
  PZ3G  [sp96]  (bytes 00 80)
  PZ3T  [si8 ]  (bytes 00)
  PZ4E  [sp96]  (bytes 4d 80)
  PZ4F  [sp96]  (bytes 18 07)
  PZ4G  [sp96]  (bytes 15 ee)
  PZ4T  [si8 ]  (bytes 21)
  RBr   [ch8*]  (bytes 64 38 00 00 00 00 00 00)
  REV   [{rev]  (bytes 02 11 0f 00 00 14)
  RMde  [char]  (bytes 41)
  RPlt  [ch8*]  (bytes 64 38 00 00 00 00 00 00)
  RSvn  [ui32]  0 (bytes 00 00 00 00)
  RVBF  [{rev]  (bytes 02 11 0f 00 00 14)
  RVCR  [{rev]  (bytes ff ff ff ff ff ff)
  RVUF  [{rev]  (bytes 02 11 0f 00 00 14)
  SAS!  [hex_]  (bytes 00 ff ff ff)
  SBF   [hex_]  (bytes 00 00 00 00)
  SBFC  [flag]  (bytes 00)
  SBFD  [hex_]  (bytes 00 00 0f c0)
  SBFE  [flag]  (bytes 01)
  SBFL  [hex_]  (bytes 00 00 00 00)
  SBFN  [hex_]  (bytes 00 00 00 00)
  SBFU  [hex_]  (bytes 00 00 0f d8)
  SBFV  [hex_]  (bytes 00 1f f0 3f)
  SC0F  [sp78]  (bytes fa 00)
  SC0W  [sp78]  (bytes fc 00)
  SCIA  [ui16]  248 (bytes 03 f8)
  SCIB  [ui32]  0 (bytes 00 01 c2 00)
  SCII  [ui8 ]  3 (bytes 03)
  SCIL  [ui8 ]  0 (bytes 00)
  SCXC  [sp78]  (bytes 69 00)
  SDAS  [ui16]  0 (bytes 00 00)
  SDPE  [ui8 ]  0 (bytes 00)
  SFBR  [ui8 ]  6 (bytes 06)
  SG0F  [sp78]  (bytes 5f 00)
  SG0W  [sp78]  (bytes 64 00)
  SGTC  [ui16]  0 (bytes 00 00)
  SGTR  [ui8 ]  0 (bytes 00)
  SH0F  [sp78]  (bytes 0e 00)
  SH0W  [sp78]  (bytes 00 00)
  SH1F  [sp78]  (bytes 0f 00)
  SH1W  [sp78]  (bytes 00 00)
  SIS!  [hex_]  (bytes 00 00 00 00)
