Num: b0=0 b1=0 b2=2 b3=ffffffaa size=4
  MSXt  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSa!  [hex_]  (bytes 00)
  MSac  [ui8 ]  0 (bytes 00)
  MSaf  [ui8 ]  0 (bytes 00)
  MSag  [ui8 ]  0 (bytes 00)
  MSah  [ui8 ]  0 (bytes 00)
  MSai  [ui8 ]  0 (bytes 00)
  MSap  [ui8 ]  0 (bytes 00)
  MSt0  [flt ]  (bytes 00 00 00 00)
  MSt1  [flt ]  (bytes 00 00 00 00)
  MSt2  [flt ]  (bytes 00 00 00 00)
  MSt3  [flt ]  (bytes 00 00 00 00)
  MSt4  [flt ]  (bytes 00 00 00 00)
  MSt5  [flt ]  (bytes 00 00 00 00)
  NATJ  [ui8 ]  2 (bytes 02)
  NATi  [ui16]  28 (bytes 00 1c)
  NOPB  [ui8 ]  0 (bytes 00)
  NTOK  [ui8 ]  0 (bytes 00)
  ONMI  [ui8 ]  0 (bytes 00)
  OOBC  [ui8 ]  (bytes 00 00)
  OOBR  [ui8 ]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OOBS  [ui8 ]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OOBT  [ui8 ]  (bytes 00 00)
  OOBW  [ui8 ]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OSSS  [ui8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OSWD  [ui16]  0 (bytes 00 00)
  PC0C  [sp96]  (bytes 07 f2)
  PC0M  [sp96]  (bytes 00 17)
  PCPC  [sp96]  (bytes 07 b2)
  PCPG  [sp96]  (bytes 00 00)
  PCPL  [sp96]  (bytes 15 00)
  PCPR  [sp96]  (bytes 08 0a)
  PCPT  [sp96]  (bytes 0a 03)
  PCTR  [sp96]  (bytes 09 75)
  PD2R  [sp96]  (bytes 20 52)
  PDTR  [sp96]  (bytes 20 52)
  PDTx  [sp96]  (bytes 00 21)
  PG0A  [sp96]  (bytes 00 b1)
  PG0C  [sp96]  (bytes 02 84)
  PG0I  [sp96]  (bytes 03 52)
  PG0M  [sp96]  (bytes 00 79)
  PG0V  [sp96]  (bytes 01 1b)
  PG1A  [sp96]  (bytes 00 ce)
  PG1C  [sp96]  (bytes 06 ea)
  PG1F  [sp96]  (bytes 01 d7)
  PGPR  [sp96]  (bytes 07 01)
  PGTR  [sp96]  (bytes 09 90)
  PH02  [sp96]  (bytes 00 94)
  PH05  [sp96]  (bytes 00 56)
  PH0F  [sp78]  (bytes 17 fa)
  PH0R  [sp96]  (bytes 00 ea)
  PH1F  [sp78]  (bytes 04 9a)
  PH1R  [sp96]  (bytes 00 34)
  PM0R  [sp96]  (bytes 00 24)
  PM0f  [sp2d]  (bytes 00 86)
  PSTR  [sp96]  (bytes 20 52)
  PW0R  [sp96]  (bytes 00 00)
  PZ0E  [flt ]  (bytes 00 00 34 43)
  PZ0F  [flt ]  (bytes 78 3c 80 42)
  PZ0G  [sp96]  (bytes 13 05)
  PZ0T  [flt ]  (bytes 00 00 00 00)
  PZ1E  [flt ]  (bytes 00 00 b4 42)
  PZ1F  [flt ]  (bytes b4 44 0b 42)
  PZ1G  [sp96]  (bytes 09 75)
  PZ1T  [flt ]  (bytes 00 00 00 00)
  PZ2E  [flt ]  (bytes 00 00 16 43)
  PZ2F  [flt ]  (bytes 6e 7f ea 41)
  PZ2G  [sp96]  (bytes 09 90)
  PZ2T  [flt ]  (bytes 00 00 00 00)
  PZ3E  [flt ]  (bytes 00 00 16 43)
  PZ3F  [flt ]  (bytes 9c 02 21 41)
  PZ3G  [sp96]  (bytes 02 84)
  PZ3T  [flt ]  (bytes 00 00 00 00)
  PZ4E  [flt ]  (bytes f9 ff 05 42)
  PZ4F  [flt ]  (bytes c2 7f eb 40)
  PZ4G  [sp96]  (bytes 01 d7)
  PZ4T  [flt ]  (bytes 00 00 00 00)
  PZ5E  [flt ]  (bytes 00 00 9b 43)
  PZ5F  [flt ]  (bytes 00 50 0a 43)
  PZ5G  [sp96]  (bytes 22 1a)
  PZ5T  [flt ]  (bytes 00 00 00 00)
  QCEC  [si8 ]  (bytes 00)
  QCFE  [flt ]  (bytes 00 00 00 00)
  QCHA  [flt ]  (bytes 00 00 00 00)
  QCHE  [flt ]  (bytes 00 00 00 00)
  QCHa  [si8 ]  (bytes ff)
  QCLA  [flt ]  (bytes 00 00 00 00)
  QCLE  [flt ]  (bytes 00 00 00 00)
  QCLV  [ui8 ]  0 (bytes 00)
  QCLa  [si8 ]  (bytes ff)
  QCLv  [flt ]  (bytes 00 00 00 00)
  QCPE  [flt ]  (bytes 00 00 00 00)
  QECI  [ui8 ]  (bytes 00)
  QECS  [ui8 ]  (bytes 00)
  QENA  [flag]  (bytes 01)
  QENN  [flag]  (bytes 01)
  QERI  [hex_]  (bytes 00 00 00 00)
  QERR  [hex_]  (bytes 00 00 00 00)
  QERS  [hex_]  (bytes 00 00 00 00)
  QFL!  [hex_]  (bytes 00)
  QGEC  [si8 ]  (bytes 00)
  QGFE  [flt ]  (bytes 00 00 00 00)
  QGHA  [flt ]  (bytes 00 00 00 00)
  QGHE  [flt ]  (bytes 00 00 00 00)
  QGHa  [si8 ]  (bytes ff)
  QGLA  [flt ]  (bytes 00 00 00 00)
  QGLE  [flt ]  (bytes 00 00 00 00)
  QGLV  [ui8 ]  0 (bytes 00)
  QGLa  [si8 ]  (bytes ff)
  QGLv  [flt ]  (bytes 00 00 00 00)
  QGPE  [flt ]  (bytes 00 00 00 00)
  QIEC  [si8 ]  (bytes 00)
  QIFE  [flt ]  (bytes 00 00 00 00)
  QIHA  [flt ]  (bytes 00 00 00 00)
  QIHE  [flt ]  (bytes 00 00 00 00)
  QIHa  [si8 ]  (bytes ff)
  QILA  [flt ]  (bytes 00 00 00 00)
  QILE  [flt ]  (bytes 00 00 00 00)
  QILV  [ui8 ]  0 (bytes 00)
  QILa  [si8 ]  (bytes ff)
  QILv  [flt ]  (bytes 00 00 00 00)
  QIPE  [flt ]  (bytes 00 00 00 00)
  QVER  [ui8 ]  1 (bytes 01)
  RBr   [ch8*]  (bytes 6a 37 38 6a 37 38 61 6d)
  REV   [{rev]  (bytes 02 22 0f 00 00 16)
  RMde  [char]  (bytes 41)
  RPlt  [ch8*]  (bytes 6a 37 38 00 00 00 00 00)
  RSvn  [ui32]  0 (bytes 00 00 00 00)
  RVBF  [{rev]  (bytes 02 22 0f 00 00 16)
  RVCR  [{rev]  (bytes ff ff ff ff ff ff)
  RVUF  [{rev]  (bytes 02 22 0f 00 00 16)
  SAS!  [hex_]  (bytes 00 ff ff ff)
  SBF   [hex_]  (bytes 00 00 00 00)
  SBFC  [flag]  (bytes 00)
  SBFD  [hex_]  (bytes 00 00 4e 00)
  SBFE  [flag]  (bytes 01)
  SBFF  [hex_]  (bytes 00 00 00 00)
  SBFL  [hex_]  (bytes 00 00 00 00)
  SBFN  [hex_]  (bytes 00 00 00 00)
  SBFU  [hex_]  (bytes 00 00 7e 18)
  SBFV  [hex_]  (bytes 01 ff b1 ff)
  SC0F  [sp78]  (bytes fc 00)
  SC0W  [sp78]  (bytes fe 00)
  SCIA  [ui16]  248 (bytes 03 f8)
  SCIB  [ui32]  0 (bytes 00 01 c2 00)
  SCII  [ui8 ]  3 (bytes 03)
  SCIL  [ui8 ]  0 (bytes 00)
  SCXC  [sp78]  (bytes 64 00)
  SDAS  [ui16]  0 (bytes 00 00)
  SDPE  [ui8 ]  0 (bytes 00)
  SFBR  [ui8 ]  6 (bytes 06)
  SG0F  [sp78]  (bytes 58 00)
  SG0W  [sp78]  (bytes 62 00)
