Num: b0=0 b1=0 b2=2 b3=ffffffd3 size=4
  F0Mx  [fpe2]  2700 (bytes 2a 30)
  F0Tg  [fpe2]  1200 (bytes 12 c0)
  FNum  [ui8 ]  1 (bytes 01)
  FOff  [ui8 ]  0 (bytes 00)
  FPDc  [fp79]  (bytes 1e 78)
  FRmn  [ui16]  0 (bytes 00 00)
  FRmp  [ui16]  0 (bytes 00 00)
  FS!   [ui16]  0 (bytes 00 00)
  FSDc  [ui16]  0 (bytes 69 00)
  G3AO  [ui32]  0 (bytes 00 00 00 00)
  G3WD  [flag]  (bytes 00)
  GCID  [hex_]  (bytes 00 00 00 00 68 19 10 02)
  GS0C  [ui16]  0 (bytes 00 00)
  GT0C  [ui16]  0 (bytes 00 00)
  GT0R  [ui8 ]  0 (bytes 00)
  GTHR  [ui8 ]  1 (bytes 01)
  HBKP  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  HBKT  [ui32]  0 (bytes 00 05 46 00)
  HC0N  [ui8 ]  25 (bytes 19)
  HC0T  [ui8 ]  4 (bytes 04)
  HDBS  [ui8 ]  1 (bytes 01)
  HDST  [hex_]  (bytes 00 00 00 00)
  HDSW  [hex_]  (bytes 00 29 00 29)
  HE0N  [ui8 ]  16 (bytes 10)
  HE0T  [ui8 ]  0 (bytes 00)
  HE1N  [ui8 ]  0 (bytes 00)
  HE1T  [ui8 ]  0 (bytes 00)
  HI0N  [ui8 ]  20 (bytes 14)
  HI0T  [ui8 ]  0 (bytes 00)
  HI1N  [ui8 ]  0 (bytes 00)
  HI1T  [ui8 ]  0 (bytes 00)
  HNVD  [ui16]  0 (bytes 00 00)
  IC0C  [sp78]  (bytes 0f fc)
  IC0G  [sp78]  (bytes 00 28)
  IC0I  [sp4b]  (bytes 05 66)
  IC0M  [sp4b]  (bytes 01 bd)
  IC0S  [sp4b]  (bytes 0a ef)
  IC20  [sp69]  (bytes 04 00)
  IC2X  [sp69]  (bytes 04 79)
  ID2E  [sp78]  (bytes 06 f0)
  ID2F  [sp78]  (bytes 07 05)
  ID2I  [sp78]  (bytes 05 fc)
  ID2J  [sp78]  (bytes 00 15)
  ID2L  [ui16]  0 (bytes 04 00)
  ID2R  [sp69]  (bytes 0b f8)
  ID2S  [si16]  (bytes 99 cc)
  ID2T  [sp78]  (bytes 00 04)
  ID2X  [sp69]  (bytes 0c 5a)
  IG0C  [sp87]  (bytes 01 46)
  IG0I  [sp5a]  (bytes 04 3c)
  IG0X  [sp87]  (bytes 01 5b)
  IG1A  [sp3c]  (bytes 03 fd)
  IG1C  [sp69]  (bytes 00 ec)
  IG1F  [sp3c]  (bytes 04 8a)
  IG1X  [sp3c]  (bytes 05 10)
  IH02  [sp3c]  (bytes 02 fd)
  IH05  [sp2d]  (bytes 06 22)
  IH1R  [sp3c]  (bytes 01 33)
  IM0R  [sp5a]  (bytes 01 e2)
