Num: b0=0 b1=0 b2=2 b3=e size=4
  KDD1  [hex_]  (bytes 00 00 00 00 00 00 c9 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  KDTP  [ui8 ]  1 (bytes 01)
  KINC  [ui16]  6 (bytes 00 06)
  KINV  [ch8*]  (bytes 4d 53 44 57)
  KINX  [hex_]  (bytes 4d 53 44 57)
  LCAD  [ui8 ]  1 (bytes 01)
  LCAE  [ui8 ]  0 (bytes 00)
  LCFS  [ui16]  0 (bytes 00 00)
  LCSA  [ui8 ]  0 (bytes 00)
  LDKN  [ui8 ]  3 (bytes 03)
  LDWA  [hex_]  (bytes 00 00 00 00 00 00 01 00)
  LDWE  [hex_]  (bytes 00 00 00 00)
  LDWL  [hex_]  (bytes 00 00 00 00 00 00 00 00)
  LGPA  [ui64]  (bytes 80 c0 17 1f 08 00 00 00)
  LGPB  [flag]  (bytes 00)
  LGPD  [hex_]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 50 00 00 00 e0 e7 ff bf bc e8 ff bf 9c e7 ff bf dc 00 00 00 80 e8 ff bf b4 e8 ff bf d8 e8 ff bf c4 23 00 00 4c 47 50 44 00 00 00 00 71 00 00 00 68 65 78 5f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  LGPE  [flag]  (bytes 00)
  LGPI  [ui32]  0 (bytes 00 00 00 00)
  LS!   [ui8 ]  0 (bytes 00)
  LSFD  [hex_]  (bytes 34 bc 00 01 00 11)
  LSFU  [hex_]  (bytes 34 bc 00 01 00 11)
  LSLB  [ui16]  255 (bytes ff ff)
  LSLF  [ui16]  0 (bytes 00 00)
  LSLN  [ui16]  255 (bytes 2f ff)
  LSOF  [flag]  (bytes 00)
  LSOO  [flag]  (bytes 00)
  LSPV  [ui16]  147 (bytes 05 93)
  LSRB  [flag]  (bytes 00)
  LSSB  [hex_]  (bytes 00 00)
  LSSE  [flag]  (bytes 01)
  LSSV  [ui16]  99 (bytes 21 63)
  LSUP  [ui8 ]  0 (bytes 00)
  MBSS  [ui16]  0 (bytes 00 00)
  MEPS  [hex_]  (bytes 00 07 07)
  MPBT  [flag]  (bytes 01)
  MPBd  [flag]  (bytes 01)
  MPET  [flag]  (bytes 01)
  MPTB  [flag]  (bytes 01)
