Num: b0=0 b1=0 b2=3 b3=2 size=4
  LCKN  [ui8 ]  181 (bytes b5)
  LCLD  [ui16]  0 (bytes 00 00)
  LCLG  [ui8 ]  0 (bytes 00)
  LCSA  [ui8 ]  0 (bytes 00)
  LCTN  [ui8 ]  187 (bytes bb)
  LCTQ  [ui8 ]  134 (bytes 86)
  LDEN  [ui16]  0 (bytes 00 00)
  LDI2  [ui8 ]  1 (bytes 01)
  LDKN  [ui8 ]  2 (bytes 02)
  LDLG  [ui8 ]  0 (bytes 00)
  LDLT  [ui8 ]  1 (bytes 01)
  LDS4  [ui8 ]  0 (bytes 00)
  LDSP  [flag]  (bytes 00)
  LDT1  [ui8 ]  0 (bytes 00)
  LDT2  [ui16]  0 (bytes 00 00)
  LDT4  [ui32]  0 (bytes 00 00 00 00)
  LDTF  [ui16]  0 (bytes 00 00)
  LDWE  [ui32]  0 (bytes 00 00 00 00)
  LIEN  [flag]  (bytes 01)
  LIFA  [ui16]  9 (bytes 00 09)
  LIFC  [ui16]  40 (bytes 00 28)
  LIFD  [ui16]  76 (bytes 34 4c)
  LIFU  [ui16]  0 (bytes 00 00)
  LIGO  [ui8 ]  0 (bytes 00)
  LIHD  [ui16]  220 (bytes 05 dc)
  LILS  [ui32]  1 (bytes 00 00 00 01)
  LINm  [ui8 ]  20 (bytes 14)
  LISC  [ui32]  0 (bytes 00 00 00 00)
  LISE  [ui32]  0 (bytes 00 00 00 00)
  LIT!  [flag]  (bytes 00)
  LITC  [flag]  (bytes 01)
  LIYA  [ui16]  0 (bytes 00 00)
  LInD  [{lic]  (bytes 00 00 00)
  LInS  [{lia]  (bytes 00 00 00 00)
  LInT  [{lia]  (bytes 00 00 00 00)
  LInU  [{lia]  (bytes 00 00 00 00)
  LInV  [{lia]  (bytes 00 00 00 00)
  LInW  [{lia]  (bytes 00 00 00 00)
  LPMC  [ui32]  68 (bytes 00 0a a0 44)
  LS!   [ui8 ]  0 (bytes 00)
  LSCF  [{lsc]  (bytes 00 00 03 20 80 00 01 00 00 07)
  LSDD  [{lsd]  (bytes 00 02 00 03 00 03 00 19)
  LSDU  [{lsd]  (bytes 00 03 00 02 00 14 00 03)
  LSFD  [{lsf]  (bytes 00 00 00 04 00 80)
  LSFU  [{lsf]  (bytes 17 70 00 07 00 3c)
  LSLB  [{pwm]  (bytes ff ff)
  LSLF  [{pwm]  (bytes 00 00)
  LSLN  [{pwm]  (bytes aa aa)
  LSOF  [flag]  (bytes 00)
  LSOO  [flag]  (bytes 00)
  LSPV  [{pwm]  (bytes aa aa)
  LSRB  [flag]  (bytes 00)
  LSSB  [{lso]  (bytes 00 00)
  LSSE  [flag]  (bytes 01)
  LSSS  [{lso]  (bytes 00 00)
  LSSV  [ui16]  255 (bytes ff ff)
  LSUP  [ui8 ]  0 (bytes 00)
  LsBA  [ui8 ]  148 (bytes 94)
  LsBS  [ch8*]  (bytes 00 00)
  LsEB  [ui8 ]  0 (bytes 00)
  LsEF  [ui8 ]  0 (bytes 00)
  LsFD  [ui8 ]  0 (bytes 00)
  LsFV  [ui8 ]  0 (bytes 00)
  LsHS  [ui8 ]  3 (bytes 03)
  LsID  [ui32]  217 (bytes 00 00 01 d9)
  LsIO  [ui8 ]  1 (bytes 01)
  LsIR  [ui8 ]  3 (bytes 03)
  LsIS  [ui8 ]  0 (bytes 00)
  LsIT  [ui8 ]  50 (bytes 32)
  LsNM  [ui8 ]  3 (bytes 03)
  LsTI  [ui8 ]  10 (bytes 0a)
  LsTV  [ui8 ]  5 (bytes 05)
  LsbC  [hex_]  (bytes 00 00)
  LsbE  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  LsbF  [ui8 ]  14 (bytes 0e)
  LsbG  [ui8 ]  14 (bytes 0e)
  LsbH  [ui16]  0 (bytes 00 00)
  LsbI  [ui8 ]  0 (bytes 00)
  LsbJ  [hex_]  (bytes 00 00 00 00)
  LsbK  [ui8 ]  0 (bytes 00)
  LsbL  [ui16]  255 (bytes 43 ff)
  LsbN  [ui8 ]  9 (bytes 09)
  LsbO  [hex_]  (bytes 23 58 00 00)
  LsbP  [hex_]  (bytes 00 00)
  LsbQ  [ch8*]  (bytes 32 d0 f0 00 ff 3f 00 20 80 00 00 00 00 02 08 80 00 42 00 40 00 00 00 40 00 20 48 08 00 10 00 08)
  LsbR  [hex_]  (bytes 00 ff ff)
  LsbS  [ui8 ]  0 (bytes 00)
  LsbT  [ui8 ]  0 (bytes 00 00 00)
  LsbV  [hex_]  (bytes 01 04 0a 00 06)
  LsbW  [hex_]  (bytes 4a 39 30 00 00 00 00 00 74 72 75 6e 6b 00 00 00 00 00 00 00)
  LsmA  [hex_]  (bytes 00 ff ff)
  LsmB  [hex_]  (bytes 00 ff ff)
  LsmC  [hex_]  (bytes 00 ff ff ff ff)
  LsmF  [hex_]  (bytes 00 ff 7f)
  LsmG  [ui16]  1 (bytes 00 01)
  LsmI  [hex_]  (bytes 38 32 31 2d 32 32 32 32 2d 30 32 00)
  LsmN  [hex_]  (bytes 54 48 41 33 34 34 35 30 32 35 39 46 51 35 36 34 53 00 00 00)
  LsmS  [ui8 ]  0 (bytes 00)
  LsmT  [ui8 ]  7 (bytes 07)
  LsmU  [hex_]  (bytes 00 00)
  LsmV  [ui8 ]  1 (bytes 01)
  LsmW  [ui16]  3 (bytes 03 03)
