Num: b0=0 b1=0 b2=2 b3=ffffff95 size=4
  MSFN  [ui8 ]  0 (bytes 00)
  MSFV  [flt ]  (bytes 00 00 00 00)
  MSFW  [flag]  (bytes 00)
  MSG3  [flag]  (bytes 00)
  MSGA  [fp6a]  (bytes 00 00)
  MSHT  [sp78]  (bytes 00 00)
  MSLB  [flt ]  (bytes 00 00 00 00)
  MSLC  [ui8 ]  0 (bytes 00)
  MSLD  [ui8 ]  0 (bytes 00)
  MSLF  [ui8 ]  0 (bytes 00)
  MSLG  [ui8 ]  0 (bytes 00)
  MSLP  [ui8 ]  0 (bytes 00)
  MSLS  [ui8 ]  0 (bytes 00)
  MSLT  [flt ]  (bytes 00 00 00 00)
  MSLU  [flt ]  (bytes 00 00 00 00)
  MSPA  [fp6a]  (bytes 00 00)
  MSPB  [flag]  (bytes 00)
  MSPC  [ui8 ]  16 (bytes 10)
  MSPE  [ui8 ]  16 (bytes 10)
  MSPI  [ui8 ]  21 (bytes 15)
  MSPP  [ui8 ]  0 (bytes 00)
  MSPS  [hex_]  (bytes 00 02)
  MSPT  [ui8 ]  44 (bytes 1c 15 00 09 10)
  MSQA  [flag]  (bytes 00)
  MSQC  [ui16]  0 (bytes 00 00)
  MSQF  [flag]  (bytes 00)
  MSQL  [ui8 ]  2 (bytes 02)
  MSQN  [flag]  (bytes 00)
  MSQO  [ui8 ]  120 (bytes 78)
  MSQS  [flag]  (bytes 00)
  MSQW  [ui16]  90 (bytes 00 5a)
  MSRC  [ui32]  0 (bytes 00 00 00 00)
  MSSD  [si8 ]  (bytes 05)
  MSSF  [ui32]  0 (bytes 00 00 00 00)
  MSSG  [ui32]  0 (bytes 00 00 00 00)
  MSSP  [si8 ]  (bytes 05)
  MSSR  [flag]  (bytes 01)
  MSSS  [{mss]  (bytes 00)
  MSTC  [ui16]  0 (bytes 00 00)
  MSTD  [ui16]  0 (bytes 00 00)
  MSTS  [ui8 ]  12 (bytes 0c)
  MSTc  [ui8 ]  0 (bytes 00)
  MSTe  [ui8 ]  0 (bytes 00)
  MSTf  [ui8 ]  0 (bytes 00)
  MSTi  [ui8 ]  0 (bytes 00)
  MSTj  [ui8 ]  0 (bytes 00)
  MSWA  [fp6a]  (bytes 00 00)
  MSWE  [ui8 ]  (bytes 00)
  MSWF  [ui16]  232 (bytes 03 e8)
  MSWO  [ui16]  232 (bytes 03 e8)
  MSWP  [ui8 ]  (bytes 00)
  MSWd  [flag]  (bytes 01)
  MSWo  [flag]  (bytes 01)
  MSWr  [ui8 ]  0 (bytes 00)
  MSXC  [ch8*]  (bytes 00 00 00 00)
  MSXD  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXH  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXK  [ch8*]  (bytes 01 02 03 04 05 06 07 08 09 0a 0b 0c 0d 0e 0f 10 11 12 13 14 15 16 17 18 19 1a 1b 1c 1d 1e 1f 20)
  MSXL  [ch8*]  (bytes 00 00 fd e8 00 00 fd e8 00 00 fd e8 00 00 fd e8)
  MSXN  [ui8 ]  40 (bytes 28)
  MSXP  [ui32]  0 (bytes 00 00 00 00)
  MSXS  [ch8*]  (bytes 01 02 03 04)
  MSXT  [ui32]  255 (bytes ff ff ff ff)
  MSXb  [ui8 ]  0 (bytes 00)
  MSXc  [ch8*]  (bytes 00 00 00 00)
  MSXd  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXh  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXk  [ch8*]  (bytes 01 02 03 04 05 06 07 08 09 0a 0b 0c 0d 0e 0f 10 11 12 13 14 15 16 17 18 19 1a 1b 1c 1d 1e 1f 20)
  MSXl  [ch8*]  (bytes 00 00 fd e8 00 00 fd e8 00 00 fd e8 00 00 fd e8)
  MSXm  [ui16]  8 (bytes 00 08)
  MSXn  [ui8 ]  59 (bytes 3b)
  MSXs  [ui32]  4 (bytes 01 02 03 04)
  MSa!  [hex_]  (bytes 00)
  MSac  [ui8 ]  0 (bytes 00)
  MSaf  [ui8 ]  0 (bytes 00)
  MSag  [ui8 ]  0 (bytes 00)
  MSah  [ui8 ]  0 (bytes 00)
  MSai  [ui8 ]  0 (bytes 00)
  MSap  [ui8 ]  0 (bytes 00)
  MSt0  [flt ]  (bytes 00 00 00 00)
  MSt1  [flt ]  (bytes 00 00 00 00)
  MSt2  [flt ]  (bytes 00 00 00 00)
  MSt3  [flt ]  (bytes 00 00 00 00)
  MSt4  [flt ]  (bytes 00 00 00 00)
  MVDS  [flag]  (bytes 00)
  MVS4  [ui8 ]  0 (bytes 00)
  NACK  [ui8 ]  0 (bytes 00)
  NATJ  [ui8 ]  2 (bytes 02)
  NATi  [ui16]  27 (bytes 00 1b)
  NOPB  [ui8 ]  0 (bytes 00)
  NTOK  [ui8 ]  0 (bytes 00)
  ONMI  [ui8 ]  0 (bytes 00)
  OOBC  [ui8 ]  (bytes 00 00)
  OOBR  [ui8 ]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OOBS  [ui8 ]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OOBT  [ui8 ]  (bytes 00 00)
  OOBW  [ui8 ]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  PAPC  [sp78]  (bytes 00 00)
  PBLC  [sp78]  (bytes 00 00)
  PC0C  [spa5]  (bytes 05 6f)
  PC0R  [sp96]  (bytes 0c b3)
  PC3C  [sp87]  (bytes 00 00)
  PCMC  [sp87]  (bytes 00 00)
  PCPC  [sp87]  (bytes 0c 6e)
  PCPG  [sp87]  (bytes 01 65)
  PCPL  [sp87]  (bytes 17 80)
  PCPT  [sp87]  (bytes 14 2e)
  PDTR  [sp87]  (bytes 00 00)
  PG0C  [sp78]  (bytes 00 00)
  PG0R  [sp87]  (bytes 00 0d)
  PG1C  [sp87]  (bytes 00 00)
  PG2C  [sp78]  (bytes 00 00)
  PHDC  [sp78]  (bytes 01 af)
  PHPC  [sp87]  (bytes 19 75)
  PHSC  [sp78]  (bytes 00 00)
  PLDC  [sp78]  (bytes 00 00)
  PM0R  [sp78]  (bytes 01 4e)
  PO3R  [sp87]  (bytes 01 9c)
  PO5R  [sp87]  (bytes 02 83)
  PPBR  [sp96]  (bytes 0e e2)
  PSTR  [sp87]  (bytes 1e 22)
  PTHC  [flt ]  (bytes 84 53 52 42)
  PZ0E  [flt ]  (bytes 84 53 52 42)
  PZ0F  [flt ]  (bytes 7d 2f 50 42)
  PZ0G  [flt ]  (bytes 64 aa 4b 42)
  PZ0T  [flt ]  (bytes 00 00 00 00)
  PZ1E  [flt ]  (bytes 00 00 34 42)
  PZ1F  [flt ]  (bytes b8 b7 d8 3d)
  PZ1G  [flt ]  (bytes 00 30 e2 3d)
  PZ1T  [flt ]  (bytes 00 00 00 00)
  PZ2E  [flt ]  (bytes 00 00 54 42)
  PZ2F  [flt ]  (bytes c8 17 e4 3d)
  PZ2G  [flt ]  (bytes 00 30 e2 3d)
  PZ2T  [flt ]  (bytes 00 00 00 00)
  PZ3E  [flt ]  (bytes 00 00 40 41)
  PZ3F  [flt ]  (bytes 00 00 00 00)
  PZ3G  [flt ]  (bytes 00 00 00 00)
  PZ3T  [flt ]  (bytes 00 00 00 00)
  PZ4E  [flt ]  (bytes 00 00 50 41)
  PZ4F  [flt ]  (bytes 00 00 50 41)
  PZ4G  [flt ]  (bytes 88 11 be 40)
  PZ4T  [flt ]  (bytes 00 00 00 00)
  QCEC  [si8 ]  (bytes 00)
  QCFE  [flt ]  (bytes 00 00 00 00)
  QCHA  [flt ]  (bytes 00 00 80 3f)
  QCHE  [flt ]  (bytes 00 00 00 00)
  QCHa  [si8 ]  (bytes 09)
  QCLA  [flt ]  (bytes 00 00 80 3f)
  QCLE  [flt ]  (bytes 6a 35 0b 3f)
  QCLV  [ui8 ]  127 (bytes 7f)
  QCLa  [si8 ]  (bytes 01)
  QCLv  [flt ]  (bytes e2 3d 02 3f)
  QCPE  [flt ]  (bytes 00 00 00 00)
  QECI  [ui8 ]  (bytes 00)
  QECS  [ui8 ]  (bytes 00)
  QENA  [flag]  (bytes 01)
  QENN  [flag]  (bytes 01)
  QERI  [hex_]  (bytes 00 00 00 00)
  QERR  [hex_]  (bytes 00 00 00 00)
  QERS  [hex_]  (bytes 00 00 00 00)
  QFL!  [hex_]  (bytes 00)
  QGEC  [si8 ]  (bytes 00)
  QGFE  [flt ]  (bytes 00 00 00 00)
  QGHA  [flt ]  (bytes 00 00 00 00)
  QGHE  [flt ]  (bytes 00 00 00 00)
  QGHa  [si8 ]  (bytes ff)
  QGLA  [flt ]  (bytes 00 00 80 3f)
  QGLE  [flt ]  (bytes c6 c4 0d 3f)
  QGLV  [ui8 ]  78 (bytes 4e)
  QGLa  [si8 ]  (bytes 02)
  QGLv  [flt ]  (bytes 82 1b 9f 3e)
  QGPE  [flt ]  (bytes 00 00 00 00)
  QIEC  [si8 ]  (bytes 00)
  QIFE  [flt ]  (bytes 00 00 00 00)
  QIHA  [flt ]  (bytes 00 00 00 00)
  QIHE  [flt ]  (bytes 00 00 00 00)
  QIHa  [si8 ]  (bytes ff)
  QILA  [flt ]  (bytes 00 00 00 00)
  QILE  [flt ]  (bytes c6 c4 0d 3f)
  QILV  [ui8 ]  28 (bytes 1c)
  QILa  [si8 ]  (bytes ff)
  QILv  [flt ]  (bytes 70 d4 e2 3d)
  QIPE  [flt ]  (bytes 00 00 00 00)
  QVER  [ui8 ]  1 (bytes 01)
  RBr   [ch8*]  (bytes 6a 34 35 67 00 00 00 00)
  REV   [{rev]  (bytes 02 19 0f 00 00 12)
  RMde  [char]  (bytes 41)
  RPlt  [ch8*]  (bytes 6a 34 35 67 00 00 00 00)
  RSvn  [ui32]  0 (bytes 00 00 00 00)
  RVBF  [{rev]  (bytes 02 19 0f 00 00 12)
  RVCR  [{rev]  (bytes ff ff ff ff ff ff)
  RVUF  [{rev]  (bytes 02 19 0f 00 00 12)
  SAS!  [hex_]  (bytes 00 ff ff ff)
  SBF   [hex_]  (bytes 00 00 00 00)
  SBFC  [flag]  (bytes 00)
  SBFD  [hex_]  (bytes 00 00 22 00)
  SBFE  [flag]  (bytes 01)
  SBFF  [hex_]  (bytes 00 00 00 00)
  SBFL  [hex_]  (bytes 00 00 02 00)
  SBFN  [hex_]  (bytes 00 00 00 00)
  SBFU  [hex_]  (bytes 00 00 38 00)
  SBFV  [hex_]  (bytes 00 00 1d ff)
  SBS!  [ui16]  0 (bytes 00 00)
  SCIA  [ui16]  248 (bytes 03 f8)
  SCIB  [ui32]  0 (bytes 00 01 c2 00)
  SCII  [ui8 ]  3 (bytes 03)
  SCIL  [ui8 ]  0 (bytes 00)
