Num: b0=0 b1=0 b2=1 b3=ffffffeb size=4
  G3WD  [flag]  (bytes 00)
  GTHR  [ui8 ]  0 (bytes 00)
  HBKP  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  HBKT  [ui32]  0 (bytes 00 05 46 00)
  HD0F  [ui8 ]  0 (bytes 00)
  HD0I  [{hdi]  (bytes 02 03 01 02 03 03 06 31 03 00 00 0b 00 00)
  HD0M  [ui8 ]  0 (bytes 00)
  HD0T  [ui16]  0 (bytes 00 00)
  HDBS  [ui8 ]  0 (bytes 00)
  HDST  [hex_]  (bytes 00 00 00 00)
  HDSW  [hex_]  (bytes 01 7c 01 7a)
  HT0A  [sp78]  (bytes 54 00)
  HT0B  [sp78]  (bytes 54 00)
  HT0C  [sp78]  (bytes 00 00)
  IAPC  [sp4b]  (bytes 00 06)
  IB0P  [sp5a]  (bytes 36 66)
  IB0r  [ui16]  86 (bytes 00 56)
  IBLC  [sp1e]  (bytes 17 9e)
  IC0C  [sp87]  (bytes 05 ee)
  IC0R  [sp4b]  (bytes 09 4c)
  IC0r  [ui16]  159 (bytes 01 9f)
  IC1C  [sp69]  (bytes 01 11)
  IC2C  [sp69]  (bytes 01 e4)
  IC3C  [sp4b]  (bytes 00 00)
  ID0R  [sp3c]  (bytes 12 d8)
  ID0r  [ui16]  169 (bytes 03 a9)
  IG0C  [sp69]  (bytes 00 1e)
  IG0R  [sp4b]  (bytes 00 0d)
  IG0r  [ui16]  3 (bytes 00 03)
  IG1C  [sp4b]  (bytes 00 00)
  IG2C  [sp4b]  (bytes 00 00)
  IG3C  [sp4b]  (bytes 00 00)
  IHDC  [sp4b]  (bytes 00 9f)
  IHSC  [sp4b]  (bytes 06 95)
  IHSc  [ui16]  78 (bytes 04 4e)
  ILDC  [sp4b]  (bytes 00 00)
  IM0C  [sp5a]  (bytes 01 44)
  IN0C  [sp69]  (bytes 00 8c)
  IO0R  [sp4b]  (bytes 03 8c)
  IO0r  [ui16]  157 (bytes 00 9d)
  IPBR  [sp5a]  (bytes 01 86)
  ISBC  [sp4b]  (bytes 11 9a)
  LAcN  [ui8 ]  0 (bytes 00)
  LAtN  [ui16]  0 (bytes 00 00)
  LC2D  [ui16]  216 (bytes 30 d8)
  LC2E  [ui16]  216 (bytes 30 d8)
  LCCC  [ui8 ]  0 (bytes 00)
  LCCN  [ui8 ]  10 (bytes 0a)
  LCCQ  [ui8 ]  74 (bytes 4a)
  LCKA  [ui8 ]  241 (bytes f1)
  LCKN  [ui8 ]  62 (bytes 3e)
  LCLD  [ui16]  0 (bytes 00 00)
  LCLG  [ui8 ]  0 (bytes 00)
  LCSA  [ui8 ]  40 (bytes 28)
  LCTN  [ui8 ]  254 (bytes fe)
  LCTQ  [ui8 ]  153 (bytes 99)
  LDEN  [ui16]  0 (bytes 00 00)
  LDI2  [ui8 ]  1 (bytes 01)
  LDKN  [ui8 ]  2 (bytes 02)
  LDLG  [ui8 ]  0 (bytes 00)
  LDS4  [ui8 ]  0 (bytes 00)
  LDSP  [flag]  (bytes 00)
  LDT1  [ui8 ]  0 (bytes 00)
  LDT2  [ui16]  0 (bytes 00 00)
  LDT4  [ui32]  0 (bytes 00 00 00 00)
  LDTF  [ui16]  0 (bytes 00 00)
  LDWE  [ui32]  0 (bytes 00 00 00 00)
  LKSB  [{lkb]  (bytes 00 00)
  LKSS  [{lks]  (bytes 00 00)
  MACA  [ui32]  0 (bytes 00 00 00 00)
  MACM  [flag]  (bytes 01)
  MACR  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSAL  [hex_]  (bytes 4b)
  MSAc  [fp88]  (bytes 00 00)
  MSAf  [fp6a]  (bytes 00 00)
  MSAg  [fp88]  (bytes 00 00)
  MSAi  [fp88]  (bytes 00 00)
  MSAm  [fp88]  (bytes 00 00)
  MSDW  [flag]  (bytes 00)
  MSG3  [flag]  (bytes 00)
  MSGA  [fp6a]  (bytes 00 00)
  MSLB  [ui16]  0 (bytes 00 00)
  MSLC  [ui8 ]  0 (bytes 00)
  MSLD  [ui8 ]  0 (bytes 00)
  MSLF  [ui8 ]  0 (bytes 00)
  MSLG  [ui8 ]  0 (bytes 00)
  MSLP  [ui8 ]  0 (bytes 00)
  MSLS  [ui8 ]  4 (bytes 04)
  MSLT  [fp88]  (bytes 15 00)
  MSPA  [fp6a]  (bytes 00 00)
  MSPB  [flag]  (bytes 00)
  MSPC  [ui8 ]  20 (bytes 14)
  MSPE  [ui8 ]  0 (bytes 00)
  MSPI  [ui8 ]  0 (bytes 00)
  MSPM  [ui8 ]  4 (bytes 04)
  MSPS  [ui16]  3 (bytes 00 03)
  MSPT  [ui8 ]  0 (bytes 00 00 00 00 00)
  MSQA  [flag]  (bytes 00)
  MSQC  [ui8 ]  0 (bytes 00)
  MSQD  [si8 ]  (bytes 00)
  MSQF  [flag]  (bytes 00)
  MSQL  [ui8 ]  0 (bytes 00)
  MSQT  [si16]  (bytes 06 00)
  MSRC  [ui32]  0 (bytes 00 00 00 00)
  MSSD  [si8 ]  (bytes 05)
  MSSF  [ui32]  0 (bytes 00 00 00 00)
  MSSG  [ui32]  0 (bytes 00 00 00 00)
  MSSP  [si8 ]  (bytes 05)
  MSSR  [flag]  (bytes 01)
  MSSS  [{mss]  (bytes 00)
  MST1  [sp87]  (bytes 81 00)
  MST2  [sp87]  (bytes 81 00)
  MSTC  [ui16]  0 (bytes 00 00)
  MSTS  [ui8 ]  10 (bytes 0a)
  MSTc  [ui8 ]  0 (bytes 00)
  MSTe  [ui8 ]  0 (bytes 00)
  MSTf  [ui8 ]  0 (bytes 00)
  MSTi  [ui8 ]  0 (bytes 00)
  MSTm  [ui8 ]  0 (bytes 00)
  MSWA  [fp6a]  (bytes 00 00)
  MSWE  [ui8 ]  (bytes 00)
  MSWF  [ui16]  232 (bytes 03 e8)
  MSWO  [ui16]  232 (bytes 03 e8)
  MSWP  [ui8 ]  (bytes 00)
  MSWr  [ui8 ]  0 (bytes 00)
  MSXC  [ch8*]  (bytes 00 00 00 00)
  MSXD  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXK  [ch8*]  (bytes 01 02 03 04 05 06 07 08 09 0a 0b 0c 0d 0e 0f 10 11 12 13 14 15 16 17 18 19 1a 1b 1c 1d 1e dc dd)
  MSXN  [ui8 ]  38 (bytes 26)
  MSXS  [ch8*]  (bytes 01 02 03 04)
  MSXb  [ui8 ]  0 (bytes 00)
  MSXc  [ch8*]  (bytes 00 00 00 00)
  MSXd  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXk  [ch8*]  (bytes 01 02 03 04 05 06 07 08 09 0a 0b 0c 0d 0e 0f 10 11 12 13 14 15 16 17 18 19 1a 1b 1c 1d 1e 1f 20)
  MSXm  [ui16]  8 (bytes 00 08)
  MSXn  [ui8 ]  60 (bytes 3c)
  MSXs  [ui32]  4 (bytes 01 02 03 04)
  MSa!  [hex_]  (bytes 00)
  MSac  [ui8 ]  0 (bytes 00)
  MSaf  [ui8 ]  0 (bytes 00)
  MSag  [ui8 ]  0 (bytes 00)
  MSai  [ui8 ]  0 (bytes 00)
  MSam  [ui8 ]  0 (bytes 00)
  MSap  [ui8 ]  0 (bytes 00)
  MSci  [ui8 ]  (bytes 00)
  MScr  [hex_]  (bytes 00 00)
  MSei  [ui8 ]  (bytes 00)
  MSer  [hex_]  (bytes 00 00)
  MSii  [ui8 ]  (bytes 00)
  MSir  [hex_]  (bytes 00 00)
  MVDS  [flag]  (bytes 00)
  MVS4  [ui8 ]  0 (bytes 00)
  NACK  [ui8 ]  0 (bytes 00)
  NATJ  [ui8 ]  0 (bytes 00)
  NATi  [ui16]  0 (bytes 00 00)
  NOPB  [ui8 ]  0 (bytes 00)
  NTOK  [ui8 ]  0 (bytes 00)
  ONMI  [ui8 ]  0 (bytes 00)
  PAPC  [sp78]  (bytes 00 02)
  PBLC  [sp78]  (bytes 04 a2)
  PC0C  [sp96]  (bytes 02 b4)
  PC0R  [sp87]  (bytes 07 4d)
  PC1C  [sp87]  (bytes 00 47)
  PC2C  [sp87]  (bytes 00 6c)
  PC3C  [sp87]  (bytes 00 00)
  PCLT  [sp87]  (bytes 03 68)
  PCPC  [sp87]  (bytes 04 57)
  PCPG  [sp87]  (bytes 00 00)
  PCPL  [sp87]  (bytes 16 80)
  PCPT  [sp87]  (bytes 06 25)
  PDTR  [sp87]  (bytes 0c 09)
  PG0C  [sp78]  (bytes 00 00)
  PG0R  [sp87]  (bytes 00 0a)
  PG1C  [sp78]  (bytes 00 00)
  PG2C  [sp78]  (bytes 00 00)
  PG3C  [sp78]  (bytes 00 00)
  PHDC  [sp78]  (bytes 00 41)
  PHPC  [sp87]  (bytes 07 57)
  PHSC  [sp78]  (bytes 00 dc)
  PLDC  [sp87]  (bytes 00 00)
  PM0R  [sp78]  (bytes 00 6d)
  PN0R  [sp78]  (bytes 00 00)
  PO0R  [sp87]  (bytes 02 c9)
  PPBR  [sp96]  (bytes 01 31)
  PSBC  [sp87]  (bytes 01 27)
  PSTR  [sp87]  (bytes 08 7b)
  PTHC  [sp87]  (bytes 21 00)
  PZ0E  [sp87]  (bytes 21 00)
