Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   74    0 0xffffff7f8352d000 0xa000     0xa000     com.apple.driver.AppleTopCaseHIDEventDriver (138) BDB47282-E825-33D1-ABD5-7254F1330EA7 <73 70 42 6 5 4 3 1>
   75    0 0xffffff7f834fd000 0xb000     0xb000     com.apple.driver.AppleHIDKeyboard (208) 87E9005C-D974-3A73-8B63-4ADD7A802D44 <42 5 4 3>
   76    0 0xffffff7f8351c000 0xf000     0xf000     com.apple.driver.AppleActuatorDriver (2400.12) BF2F2CE1-E351-30C3-B9EA-F9C12822D2D6 <70 69 42 17 7 5 4 3 1>
   77    0 0xffffff7f8119f000 0x7000     0x7000     com.apple.AppleSystemPolicy (1.0) D48FE3A7-F680-3105-AA1E-39CC328E18A6 <30 7 6 5 4 3 2 1>
   78    1 0xffffff7f813dc000 0x8000     0x8000     com.apple.filesystems.hfs.encodings.kext (1) B7DD4F49-C3D8-3D31-936B-9A3B99CC1A5E <7 6 5 4 3 1>
   79    0 0xffffff7f814aa000 0xd000     0xd000     com.apple.AppleFSCompression.AppleFSCompressionTypeZlib (1.0.0) 645FACBF-3665-31DF-93FE-194AE58EC4E8 <6 4 3 2 1>
   80    0 0xffffff7f826f9000 0xe000     0xe000     com.apple.BootCache (40) 37E91810-AEFA-3877-A3DB-AFE8B87DF646 <7 6 5 4 3 1>
   81    0 0xffffff7f83237000 0x3000     0x3000     com.apple.AppleFSCompression.AppleFSCompressionTypeDataless (1.0.0d1) CAA3835C-EB69-32F6-806F-C36B32F576F2 <7 6 4 3 2 1>
   82    0 0xffffff7f85c5e000 0x69000    0x69000    com.apple.filesystems.hfs.kext (407.200.4) B84070F4-9A3B-3548-8EEC-80B9AF8A37A5 <78 7 6 5 4 3 1>
   83    6 0xffffff7f82e42000 0xe000     0xe000     com.apple.iokit.IOSerialFamily (11) C8406C65-E796-31C0-87C3-F9FCF03BEC9D <7 6 5 4 3 1>
   84    0 0xffffff7f85eab000 0x13000    0x13000    com.apple.driver.AppleVirtIO (2.0.4) 3B301F73-712D-3858-9FB6-B4D19F3BEF76 <83 25 12 5 4 3 1>
   85    0 0xffffff7f80fad000 0x2000     0x2000     com.apple.driver.AppleFileSystemDriver (3.0.1) 5AF6040D-276B-3D46-ADEE-399829C6C334 <25 4 3>
   86    0 0xffffff7f83250000 0xa000     0xa000     com.apple.driver.AppleXsanScheme (3) 15D868CC-3EFB-3CD1-96AC-149EA621A41B <25 5 4 3 1>
   87    1 0xffffff7f8186f000 0xfe000    0xfe000    com.apple.filesystems.apfs (945.200.121) 491AD340-335A-3FA0-909F-70FCE05AE27A <33 25 8 7 6 5 4 3 1>
   88    2 0xffffff7f8233c000 0x22000    0x22000    com.apple.iokit.IOSurface (255) E29C81C7-B95A-3A95-9A69-5A83ED24F806 <7 6 5 4 3 1>
   89   17 0xffffff7f81420000 0x4b000    0x4b000    com.apple.iokit.IOGraphicsFamily (530.9) 397A2D03-D337-3EE7-BD03-2DAE207AE541 <12 7 5 4 3 1>
   90    2 0xffffff7f82360000 0xa5000    0xa5000    com.apple.iokit.IOAcceleratorFamily2 (400.20) 9F35F2AB-0ACF-3072-9D6E-041CB5B3758B <89 88 30 17 12 7 6 5 4 3 1>
   91    6 0xffffff7f817c4000 0x9000     0x9000     com.apple.AppleGraphicsDeviceControl (3.22.18) 277705F9-47B9-34B4-99EB-4FA2365ABD99 <89 12 7 6 5 4 3 1>
   92    0 0xffffff7f82415000 0x1f2000   0x1f2000   com.apple.driver.AppleIntelSKLGraphicsFramebuffer (12.0.0) C4D653C9-79DD-35EB-8305-42D2880FD8BA <91 90 89 17 12 11 7 6 5 4 3 1>
   93    1 0xffffff7f85bfd000 0xe000     0xe000     com.apple.driver.AppleSMBusController (1.0.18d1) 5E15CC75-F336-32DB-A2C8-23402A9DA84E <43 12 11 5 4 3>
   94    0 0xffffff7f85c0e000 0xf000     0xf000     com.apple.driver.AppleMCCSControl (1.5.7) 83A35164-C8DD-325D-8270-E5774884ACBB <93 89 13 12 11 7 5 4 3 1>
   95    1 0xffffff7f81478000 0x5000     0x5000     com.apple.iokit.IOSlowAdaptiveClockingFamily (1.0.0) 1C719DCA-B97E-3095-8055-5B7B3F96850D <7 6 5 4 3 1>
   96    0 0xffffff7f85ba7000 0x2000     0x2000     com.apple.driver.AppleIntelSlowAdaptiveClocking (4.0.0) 9C848B4E-DB4F-3E38-86D2-DE2808ACBC56 <95 4 3>
   97    1 0xffffff7f82e53000 0x2c000    0x2c000    com.apple.iokit.IOSkywalkFamily (1) 85F95E76-8A3B-3A2C-B60F-BA7E3C8A422A <15 6 5 4 3 1>
   98    2 0xffffff7f82e88000 0x2f000    0x2f000    com.apple.driver.AppleOnboardSerial (1.0) 7F4C7C6D-BDE8-34E7-B387-F34AC3226EC7 <97 83 7 5 4 3 1>
   99    1 0xffffff7f85fa9000 0x4000     0x4000     com.apple.driver.AppleIntelLpssUARTCommon (3.0.60) AF247E21-27BF-3B01-AB8B-C28E71493672 <98 83 12 11 7 5 4 3 1>
