Num: b0=0 b1=0 b2=2 b3=2e size=4
  SMBW  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  SPDO  [ui8 ]  1 (bytes 01)
  SPH0  [ui16]  0 (bytes 00 00)
  SPHR  [ui32]  0 (bytes 00 00 00 00)
  SPHS  [ui8 ]  0 (bytes 00)
  SPHT  [ui16]  0 (bytes 00 00)
  SPHZ  [ui8 ]  (bytes 00)
  SPT!  [hex_]  (bytes 00)
  SPU!  [hex_]  (bytes 00 00 00 00)
  SPV!  [hex_]  (bytes 00 00 00 00)
  SRS!  [hex_]  (bytes 00 00 00 00)
  SRT!  [hex_]  (bytes 00 00 00 00)
  SS0F  [sp78]  (bytes 32 00)
  SS0W  [sp78]  (bytes 34 00)
  STC0  [ui8 ]  1 (bytes 01)
  STC1  [ui8 ]  0 (bytes 00)
  STC2  [ui8 ]  2 (bytes 02)
  STDK  [ui16]  0 (bytes 00 00)
  STFD  [flag]  (bytes 00)
  Sp2F  [sp78]  (bytes 5a 00)
  Sp2P  [sp78]  (bytes 61 00)
  Sp2S  [sp78]  (bytes 66 00)
  Sp2W  [sp78]  (bytes 5c 00)
  SpCC  [fp6a]  (bytes 64 6b)
  SpCI  [ui8 ]  (bytes 0e)
  SpCP  [fp6a]  (bytes 6b 1c)
  SpCS  [si16]  (bytes 0e c5)
  SpCT  [fpc4]  (bytes 27 63)
  TA0P  [sp78]  (bytes 0f c0)
  TA0V  [sp78]  (bytes 18 f5)
  TA0p  [sp78]  (bytes 23 c0)
  TC0E  [sp78]  (bytes db 82)
  TC0F  [sp78]  (bytes dd 68)
  TC0J  [sp78]  (bytes 01 e6)
  TC0L  [ui16]  26 (bytes 00 1a)
  TC0P  [sp78]  (bytes 32 e0)
  TC0T  [sp78]  (bytes 00 29)
  TC0c  [sp78]  (bytes 41 00)
  TC0p  [sp78]  (bytes 32 e0)
  TC1c  [sp78]  (bytes 3f 00)
  TC2c  [sp78]  (bytes 3f 00)
  TC3c  [sp78]  (bytes 3d 00)
  TCGc  [sp78]  (bytes 3a 00)
  TCSc  [sp78]  (bytes 3b 00)
  TCXR  [sp78]  (bytes dc c0)
  TCXc  [sp78]  (bytes 40 c0)
  TCXr  [sp78]  (bytes dc c0)
  TG0D  [sp78]  (bytes 34 00)
  TG0E  [sp78]  (bytes 34 f1)
  TG0F  [sp78]  (bytes 36 1a)
  TG0J  [sp78]  (bytes 01 29)
  TG0L  [ui16]  32 (bytes 00 20)
