BootArgs: Version=2, Revision=1, at 0xffffff80213b8000
CommandLine: 
Video: baseAddr=0xb0000000, display=1, rowBytes=6144, width=1440, height=900, depth=32
DevTree: addr=0x213c1000, length=0x17b4
Kernel image: kaddr=0x1d500000, ksize=0x3f86000
EFI Runtime: Mode=64, PageStart=0x213c3 (0x213c3000), PageCount=0xc0, SystemTable=0x21417e10
MemoryMap: Size=0x2c70, DescriptorSize=48, DescriptorVersion=1
Type       Physical Start   - Physical End     Number of Pages  Virtual Start    Attribute
BS_code    0000000078be7000 - 0000000078be8fff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000078be9000 - 0000000078becfff 0000000000000004 0000000000000000 000000000000000f
BS_code    0000000078bed000 - 0000000078bedfff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000078bee000 - 0000000078beffff 0000000000000002 0000000000000000 000000000000000f
BS_code    0000000078bf0000 - 0000000078bfafff 000000000000000b 0000000000000000 000000000000000f
BS_data    0000000078bfb000 - 0000000078bfbfff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000078bfc000 - 0000000078bfcfff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000078bfd000 - 0000000078bfffff 0000000000000003 0000000000000000 000000000000000f
BS_code    0000000078c00000 - 0000000078c01fff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000078c02000 - 0000000078c03fff 0000000000000002 0000000000000000 000000000000000f
BS_code    0000000078c04000 - 0000000078c08fff 0000000000000005 0000000000000000 000000000000000f
BS_data    0000000078c09000 - 0000000078c0afff 0000000000000002 0000000000000000 000000000000000f
BS_code    0000000078c0b000 - 0000000078c0dfff 0000000000000003 0000000000000000 000000000000000f
BS_data    0000000078c0e000 - 0000000078c10fff 0000000000000003 0000000000000000 000000000000000f
BS_code    0000000078c11000 - 0000000078c11fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000078c12000 - 0000000078c14fff 0000000000000003 0000000000000000 000000000000000f
BS_code    0000000078c15000 - 0000000078c1ffff 000000000000000b 0000000000000000 000000000000000f
BS_data    0000000078c20000 - 0000000078c20fff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000078c21000 - 0000000078c22fff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000078c23000 - 0000000078c26fff 0000000000000004 0000000000000000 000000000000000f
BS_code    0000000078c27000 - 0000000078c29fff 0000000000000003 0000000000000000 000000000000000f
BS_data    0000000078c2a000 - 0000000078c31fff 0000000000000008 0000000000000000 000000000000000f
BS_code    0000000078c32000 - 0000000078c36fff 0000000000000005 0000000000000000 000000000000000f
BS_data    0000000078c37000 - 0000000078c41fff 000000000000000b 0000000000000000 000000000000000f
BS_code    0000000078c42000 - 0000000078c48fff 0000000000000007 0000000000000000 000000000000000f
BS_data    0000000078c49000 - 0000000078c49fff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000078c4a000 - 0000000078c4bfff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000078c4c000 - 0000000078c4dfff 0000000000000002 0000000000000000 000000000000000f
BS_code    0000000078c4e000 - 0000000078c50fff 0000000000000003 0000000000000000 000000000000000f
BS_data    0000000078c51000 - 0000000078c53fff 0000000000000003 0000000000000000 000000000000000f
BS_code    0000000078c54000 - 0000000078c59fff 0000000000000006 0000000000000000 000000000000000f
BS_data    0000000078c5a000 - 0000000078c5afff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000078c5b000 - 0000000078c5cfff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000078c5d000 - 0000000078c5dfff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000078c5e000 - 0000000078c7bfff 000000000000001e 0000000000000000 000000000000000f
BS_data    0000000078c7c000 - 0000000078c81fff 0000000000000006 0000000000000000 000000000000000f
BS_code    0000000078c82000 - 0000000078c8efff 000000000000000d 0000000000000000 000000000000000f
BS_data    0000000078c8f000 - 0000000078c8ffff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000078c90000 - 0000000078c91fff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000078c92000 - 0000000078c92fff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000078c93000 - 0000000078c93fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000078c94000 - 0000000078c96fff 0000000000000003 0000000000000000 000000000000000f
BS_code    0000000078c97000 - 0000000078c9ffff 0000000000000009 0000000000000000 000000000000000f
BS_data    0000000078ca0000 - 0000000078ca3fff 0000000000000004 0000000000000000 000000000000000f
BS_code    0000000078ca4000 - 0000000078ca7fff 0000000000000004 0000000000000000 000000000000000f
BS_data    0000000078ca8000 - 0000000079414fff 000000000000076d 0000000000000000 000000000000000f
BS_code    0000000079415000 - 0000000079416fff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000079417000 - 000000007941afff 0000000000000004 0000000000000000 000000000000000f
BS_code    000000007941b000 - 0000000079422fff 0000000000000008 0000000000000000 000000000000000f
BS_data    0000000079423000 - 0000000079425fff 0000000000000003 0000000000000000 000000000000000f
BS_code    0000000079426000 - 0000000079440fff 000000000000001b 0000000000000000 000000000000000f
BS_data    0000000079441000 - 0000000079446fff 0000000000000006 0000000000000000 000000000000000f
BS_code    0000000079447000 - 0000000079448fff 0000000000000002 0000000000000000 000000000000000f
