Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   57    1 0xffffff7f82bd6000 0x5000     0x5000     com.apple.driver.AppleEFIRuntime (2.1) 27F49AE3-415B-3D52-B902-E5F68F27C5B5 <8 7 6 5 3>
   58    1 0xffffff7f82bdb000 0xe000     0xe000     com.apple.driver.AppleEFINVRAM (2.1) 07910380-1296-307C-A25B-FDB9D2DEBDDE <57 8 7 6 5 3 1>
   59    0 0xffffff7f80d55000 0xb000     0xb000     com.apple.driver.AppleIntelLpssGspi (3.0.60) 5B223BDB-F6CE-3E13-9BDD-707E8B195E68 <13 12 8 6 5 3>
   60    1 0xffffff7f83993000 0x58000    0x58000    com.apple.driver.usb.AppleUSBXHCI (1.2) 05F64136-2809-3A7D-9D64-0E70113E6963 <21 20 12 8 7 6 5 3 1>
   61    0 0xffffff7f83c43000 0x32000    0x32000    com.apple.driver.usb.AppleUSBXHCIPCI (1.2) C9E5A322-F99B-3215-A4E5-A7D5F9EC0B19 <60 21 20 13 12 8 7 6 5 3 1>
   62    1 0xffffff7f82bf8000 0x1b000    0x1b000    com.apple.iokit.IOAHCIFamily (290.0.1) 1348CB77-02A5-333C-BD2D-2E33F6B182FA <6 5 3 1>
   63    0 0xffffff7f82c16000 0x10000    0x10000    com.apple.driver.AppleAHCIPort (341.0.2) 88595605-79AD-3D24-976F-549A1BC6D2E9 <62 13 6 5 3 1>
   64    1 0xffffff7f81110000 0xa000     0xa000     com.apple.driver.AppleIntelLpssI2C (3.0.60) F104BE08-15CC-36BE-B2D1-D7041A46A47B <13 12 8 6 5 3>
   65    0 0xffffff7f82c3c000 0x43000    0x43000    com.apple.iokit.IONVMeFamily (2.1.0) 0DDEF73A-BDF3-316B-820B-9479CAF678F4 <58 32 22 17 13 8 7 6 5 3 1>
   66    0 0xffffff7f83906000 0x3000     0x3000     com.apple.private.KextAudit (1.0) C4F29451-E964-3CB4-9598-6E3E340921C1 <15 8 7 6 5 3>
   67    6 0xffffff7f812a4000 0x10000    0x10000    com.apple.iokit.IOBufferCopyEngineFamily (1) AA887B9C-F7B9-3C0B-A043-3247137FDD95 <6 5 3 1>
   68    0 0xffffff7f83c39000 0xa000     0xa000     com.apple.iokit.IOBufferCopyController (1.1.0) BF5FC260-8E35-3044-9BF0-3C3D86B09741 <67 13 8 7 6 5 3 1>
   69    0 0xffffff7f8145e000 0xd000     0xd000     com.apple.driver.AppleEffaceableNOR (1.0) 4FA38811-F5BE-3693-B4B9-2C9D7F9BDB63 <67 41 34 8 6 5 3 1>
   70    3 0xffffff7f81917000 0x9000     0x9000     com.apple.driver.usb.AppleUSBVHCICommon (1.0) 1140950E-57DF-3D6E-B7C0-DF7445A1D48D <21 20 8 6 5 3 1>
   71    1 0xffffff7f81920000 0xd000     0xd000     com.apple.driver.usb.AppleUSBVHCICommonBCE (1.0) 090C5E37-9B6C-3D71-986F-753996183195 <70 67 20 8 6 5 3 1>
   72    1 0xffffff7f8192d000 0x28000    0x28000    com.apple.driver.usb.AppleUSBVHCI (1.2) 5C02158D-C7E7-3E05-9F2D-C8BB74D86300 <70 21 20 8 7 6 5 3 1>
   73    0 0xffffff7f81959000 0x4000     0x4000     com.apple.driver.usb.AppleUSBVHCIBCE (1.2) 2EF74E8E-3429-34C8-AEAF-806A3FDD1801 <72 71 70 67 21 20 12 8 7 6 5 3 1>
