Num: b0=0 b1=0 b2=1 b3=6a size=4
  TC2C  [sp78]  (bytes 2e 00)
  TCGC  [sp78]  (bytes 33 00)
  TCSA  [sp78]  (bytes 2d 00)
  TH0F  [sp78]  (bytes f9 79)
  TH0J  [sp78]  (bytes f9 00)
  TH0O  [sp78]  (bytes f9 00)
  TH0o  [hex_]  (bytes 07)
  THSP  [sp78]  (bytes 18 40)
  TM0P  [sp78]  (bytes 1d a0)
  TPCD  [sp78]  (bytes 2c 00)
  Ta0P  [sp78]  (bytes 1d 20)
  Th1H  [sp78]  (bytes 14 00)
  Tm0P  [sp78]  (bytes 19 a0)
  Tm1P  [sp78]  (bytes 1a a0)
  Ts0P  [sp78]  (bytes 13 70)
  Ts0S  [sp78]  (bytes 14 52)
  UPRC  [ui16]  69 (bytes 08 45)
  VC0C  [sp5a]  (bytes 03 cb)
  VC1R  [sp5a]  (bytes 1f b0)
  VC1r  [ui16]  128 (bytes 54 80)
  VD0R  [sp5a]  (bytes 00 00)
  VN0C  [sp5a]  (bytes 01 ce)
  VP0R  [sp5a]  (bytes 1e ee)
  WKEN  [ui8 ]  (bytes 00)
  WKTP  [ui8 ]  0 (bytes 00)
  WVr0  [ui8 ]  255 (bytes ff)
  WVw0  [ui8 ]  255 (bytes ff)
  zDBG  [ui8 ]  (bytes 00)
  zDSF  [flag]  (bytes 00)
